Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Inband Power (dB FS)	Delta Time (s)	Peak Freq (Hz)	NLP	SNR
1	Spectrogram 1	1	11.729979037	15.121179291	484.900	90971.429	-39.48	3.3912	22031.250	Yes - DC	27.2
2	Spectrogram 1	1	17.796729116	21.365446305	800.000	104685.714	-45.22	3.5687	56484.375	Yes - DC	18.6
3	Spectrogram 1	1	22.851669067	29.468359665	1142.857	103771.429	-39.76	6.6167	24726.562	No	15.3
4	Spectrogram 1	1	41.627646898	43.254273461	727.300	113600.000	-25.69	1.6266	55078.125	No	25.9
5	Spectrogram 1	1	60.567246454	60.687950192	1050.600	32728.900	-52.44	0.1207	1875.000	No	6.6
6	Spectrogram 1	1	76.245529521	89.413881818	800.000	112914.286	-37.88	13.1684	2812.500	Yes - DC	17
7	Spectrogram 1	1	89.470353757	89.746726582	11542.857	14057.143	-80.75	0.2764	12890.625	No	12.7
8	Spectrogram 1	1	90.136899984	90.803446211	914.286	104000.000	-47.96	0.6665	30820.312	Yes - DC	22.5
9	Spectrogram 1	1	129.793854704	130.983648691	1028.600	44914.300	-39.74	1.1898	1875.000	No	12.5
10	Spectrogram 1	1	231.696786587	232.415261217	2285.700	53028.600	-65.22	0.7185	17226.562	Yes - BP	11.6
11	Spectrogram 1	1	288.395192322	289.188388314	2400.000	38742.900	-54.45	0.7932	5625.000	Yes - BP	18.7
12	Spectrogram 1	1	312.111062818	312.501913017	2628.600	26742.900	-58.14	0.3909	5039.062	Yes - BP	9.6
13	Spectrogram 1	1	437.309545900	438.378636150	9600.000	19771.400	-77.04	1.0691	10546.875	No	8
14	Spectrogram 1	1	556.550618302	557.010442065	1488.500	43167.900	-64.59	0.4598	2578.125	Yes - DC	8.3
15	Spectrogram 1	1	731.069185153	731.661208248	2171.429	57485.714	-62.35	0.5920	26835.938	No	13.4
16	Spectrogram 1	1	744.642026502	745.642143187	2748.100	28740.500	-68.83	1.0001	5507.812	Yes - BP	8.3
17	Spectrogram 1	1	798.119319457	798.607882205	6171.429	32457.143	-62.33	0.4886	9257.812	No	19.6
18	Spectrogram 1	1	798.994120025	799.505673962	5142.857	31200.000	-67.96	0.5116	6328.125	Yes - BP	13.9
19	Spectrogram 1	1	800.517286241	801.063326960	4914.286	29942.857	-64.14	0.5460	7265.625	No	17.8
20	Spectrogram 1	1	986.550496593	987.314953599	1371.429	44114.286	-54.33	0.7645	5742.188	Yes - BP, FJ	20.6
21	Spectrogram 1	1	1612.038348920	1612.331486569	19885.714	21714.286	-89.13	0.2931	20859.375	No	12.2
22	Spectrogram 1	1	1612.555650653	1613.440811398	20114.286	21828.571	-93.16	0.8852	21210.938	No	7.7
23	Spectrogram 1	1	1614.295140822	1614.473322531	20114.286	22971.429	-92.00	0.1782	21210.938	No	9.1
