Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	Peak Freq (Hz)	NLP	SNR	SQ	Notes
1	Spectrogram 1	2	270.713678182	271.741017505	1324.300	14159.600	1.0273	-58.26	2109.375	No		3	
2	Spectrogram 1	2	273.788450970	274.435294247	1120.500	16757.200	0.6468	-54.46	1992.188	No		3	
3	Spectrogram 1	2	276.778885650	277.425728927	1324.300	10543.300	0.6468	-58.69	1992.188	No		3	
4	Spectrogram 1	2	283.732995912	284.563745611	1578.900	15483.900	0.8307	-60.00	1992.188	No		3	
5	Spectrogram 1	2	287.320822852	287.618878087	1324.300	14974.500	0.2981	-54.27	2226.562	No		2	
6	Spectrogram 1	2	290.840586380	291.138641616	1680.800	17674.000	0.2981	-55.01	3515.625	No		3	
7	Spectrogram 1	2	292.108906531	292.445011371	1884.600	15025.500	0.3361	-57.19	2226.562	No		3	
8	Spectrogram 1	2	296.871222799	297.625873289	1120.500	14923.600	0.7547	-56.58	2343.750	Yes - DC		3	Many confocal and conspecific buzzes
9	Spectrogram 1	2	299.331763892	299.984948770	865.900	13955.900	0.6532	-58.40	3750.000	Yes - DC		3	
10	Spectrogram 1	2	303.727346003	305.147864572	967.700	18489.000	1.4205	-51.93	2343.750	No		2	
11	Spectrogram 1	2	306.118129488	307.564014460	1120.500	16247.900	1.4459	-58.20	2226.562	Yes - DC		3	
12	Spectrogram 1	2	310.840210784	312.970988638	1069.600	17113.800	2.1308	-54.23	1992.188	Yes - DC		3	
13	Spectrogram 1	2	317.668381209	318.404006897	1833.600	14974.500	0.7356	-59.00	2226.562	Yes - DC		3	
14	Spectrogram 1	2	321.020400073	321.457970525	1324.300	19151.100	0.4376	-51.66	2109.375	Yes - DC		3	
15	Spectrogram 1	2	326.054727494	326.530347550	1171.500	18641.800	0.4756	-53.66	2109.375	Yes - DC		3	
16	Spectrogram 1	2	411.133589063	411.609209119	1171.500	20169.800	0.4756	-54.17	2695.312	No		3	
17	Spectrogram 1	2	412.408250815	412.763380457	1222.400	20118.800	0.3551	-51.76	2578.125	No		2	
18	Spectrogram 1	2	414.492565036	415.716493982	1222.400	19813.200	1.2239	-54.83	2578.125	Yes - DC		2	
19	Spectrogram 1	2	429.600505551	430.729310486	1833.600	15993.200	1.1288	-50.79	4687.500	Yes - DC		3	
20	Spectrogram 1	2	430.938583310	431.566401785	1935.500	14057.700	0.6278	-51.72	4335.938	Yes - DC		3	
21	Spectrogram 1	2	432.178459513	432.882377196	1680.800	14414.300	0.7039	-52.97	3398.438	Yes - DC		2	
22	Spectrogram 1	2	434.725925089	435.131787537	1680.800	16196.900	0.4059	-50.74	4335.938	Yes - DC		2	
23	Spectrogram 1	2	441.628574096	442.313466977	1680.800	15789.500	0.6849	-52.70	1757.812	Yes - DC		3	
24	Spectrogram 1	2	447.686886623	448.619101934	1222.400	17572.200	0.9322	-59.78	2812.500	Yes - DC		3	
25	Spectrogram 1	2	454.932636951	455.915585068	1629.900	20067.900	0.9829	-59.61	2929.688	Yes - DC		3	
26	Spectrogram 1	2	493.010555839	493.619349511	814.900	23582.300	0.6088	-59.45	1640.625	Yes - BP, DC		2	
27	Spectrogram 1	2	495.401051254	495.946428919	865.900	24499.200	0.5454	-54.95	7148.438	Yes - BP, DC		2	
28	Spectrogram 1	2	497.747567873	498.299287138	967.700	25416.000	0.5517	-56.02	10078.125	Yes - BP, DC		2	
29	Spectrogram 1	2	504.004486477	504.486448135	611.200	27351.400	0.4820	-56.31	9960.938	Yes - BP, DC		2	
30	Spectrogram 1	2	531.507186028	532.065246894	713.100	29286.900	0.5581	-41.82	13359.375	Yes - BP, DC		2	
31	Spectrogram 1	2	534.976041641	535.489711302	865.900	29337.900	0.5137	-40.77	19687.500	Yes - BP, DC		3	
32	Spectrogram 1	2	536.557121866	537.064449926	865.900	29337.900	0.5073	-42.07	12421.875	Yes - BP, DC		2	Repetetive
33	Spectrogram 1	2	719.845497350	720.625514243	1426.100	28166.400	0.7800	-50.06	2226.562	No		3	
34	Spectrogram 1	2	742.151730841	746.527435362	1069.600	22359.900	4.3757	-69.67	2578.125	Yes - DC		3	
35	Spectrogram 1	2	931.903038884	932.226460523	1833.600	27911.700	0.3234	-60.08	20273.438	Yes - DC		2	Weird
36	Spectrogram 1	2	940.835000132	941.278912185	662.100	29388.800	0.4439	-53.28	11367.188	Yes - DC		2	Less weird
37	Spectrogram 1	2	1256.848502136	1257.691935036	967.700	20271.600	0.8434	-64.28	1523.438	No		3	
38	Spectrogram 1	2	1257.888524660	1259.137820008	865.900	21239.400	1.2493	-68.12	1640.625	No		3	
39	Spectrogram 1	2	1781.788867327	1782.568884220	713.100	29337.900	0.7800	-47.77	13359.375	Yes - BP, DC		2	
40	Spectrogram 1	2	1785.664376007	1786.425368098	713.100	29337.900	0.7610	-41.25	13359.375	Yes - BP, DC		2	
41	Spectrogram 1	2	1887.099468321	1887.822410807	1069.600	25925.300	0.7229	-61.57	1875.000	No		2	
42	Spectrogram 1	2	2211.395677029	2212.486432359	1120.500	24142.600	1.0908	-61.41	1992.188	No		3	
