Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Inband Power (dB FS)	Delta Time (s)	Peak Freq (Hz)	SNR	SQ	NLP	BP	DC	FJ	SH	SB	E-Clicks in frame	Notes
1	Spectrogram 1	2	57.745470346	58.360605619	864.400	80679.100	-51.84	0.6151	2812.500		2	2	1	1	0	0	0		
2	Spectrogram 1	2	67.100573858	67.728392333	576.300	42138.300	-38.39	0.6278	9609.375		2	2	1	1	0	0	0		
3	Spectrogram 1	2	79.021501469	79.471755122	1008.400	41922.200	-47.84	0.4503	13710.938		2	2	1	1	0	0	0		
4	Spectrogram 1	2	79.541512731	79.985424784	720.300	42138.300	-40.39	0.4439	12187.500		1	1	0	1	0	0	0		
5	Spectrogram 1	2	92.979709250	93.645577329	792.300	41490.000	-53.18	0.6659	6562.500		2	2	1	1	0	0	0		
6	Spectrogram 1	2	95.662658149	96.074862198	1152.500	41418.000	-55.01	0.4122	3281.250		2	2	1	1	0	0	0		May be conspecific
7	Spectrogram 1	2	96.081203798	96.429991840	792.300	41778.100	-47.34	0.3488	11718.750		1	1	0	1	0	0	0		
8	Spectrogram 1	2	97.622212782	98.357838470	1080.500	42210.300	-57.35	0.7356	3046.875		2	2	1	1	0	0	0		
9	Spectrogram 1	2	99.410544195	99.778357039	864.400	41562.000	-54.89	0.3678	1171.875		2	1	0	1	0	0	0		
10	Spectrogram 1	2	108.350298242	108.965433515	1296.600	39761.300	-60.88	0.6151	13007.812		2	2	1	1	0	0	0		
11	Spectrogram 1	2	110.506442499	111.127919373	1224.500	40553.600	-61.38	0.6215	7968.750		2	1	1	0	0	0	0		Ask abt DC
12	Spectrogram 1	2	143.145340366	143.513153210	720.300	39473.100	-59.13	0.3678	8554.688		1	1	1	0	0	0	0		
13	Spectrogram 1	2	145.846636388	146.290548441	1008.400	41778.100	-60.53	0.4439	3281.250		2	1	1	0	0	0	0		
14	Spectrogram 1	2	149.651709781	150.070255431	864.400	41562.000	-62.05	0.4185	3281.250		2	1	1	0	0	0	0		
15	Spectrogram 1	2	152.468397035	152.886942684	792.300	40985.800	-62.15	0.4185	3046.875		2	1	1	0	0	0	0		
16	Spectrogram 1	2	154.918553233	155.559054909	360.200	41706.100	-53.69	0.6405	30117.188		3	1	1	0	0	0	0		
17	Spectrogram 1	2	159.036900668	159.671060744	720.300	42138.300	-52.06	0.6342	34804.688		2	1	1	0	0	0	0		
18	Spectrogram 1	2	167.507206850	168.185758131	864.400	40265.500	-46.30	0.6786	29531.250		2	1	1	0	0	0	0		
19	Spectrogram 1	2	171.749901465	172.498210354	936.400	40985.800	-44.42	0.7483	28828.125		2	1	1	0	0	0	0		
20	Spectrogram 1	2	179.691840768	180.421124855	792.300	41418.000	-45.71	0.7293	24375.000		2	1	1	0	0	0	0		
21	Spectrogram 1	2	182.810451422	183.539735508	792.300	41490.000	-53.48	0.7293	27539.062		2	1	1	0	0	0	0		
22	Spectrogram 1	2	185.708562967	186.437847054	1152.500	41994.200	-50.84	0.7293	28007.812		2	1	1	0	0	0	0		
23	Spectrogram 1	2	190.096784109	190.851434599	864.400	41850.200	-44.81	0.7547	27773.438		2	1	1	0	0	0	0		
24	Spectrogram 1	2	193.133851832	193.844111116	864.400	41850.200	-52.05	0.7103	29414.062		2	1	1	0	0	0	0		
25	Spectrogram 1	2	196.062835672	196.773094956	792.300	41994.200	-45.20	0.7103	35742.188		2	1	1	0	0	0	0		
26	Spectrogram 1	2	199.494988488	200.230614176	720.300	41850.200	-47.01	0.7356	35625.000		2	1	1	0	0	0	0		
27	Spectrogram 1	2	408.724961024	409.251313887	11020.800	19736.600	-73.54	0.5264	13593.750		1	1	0	0	1	0	0		
28	Spectrogram 1	2	410.203225979	410.336399595	12821.600	14190.200	-82.53	0.1332	13242.188		2	0	0	0	0	0	0		
29	Spectrogram 1	2	410.437865207	410.754945245	9220.000	13758.000	-80.67	0.3171	9726.562		2	0	0	0	0	0	0		
30	Spectrogram 1	2	413.701999538	415.927901403	6482.800	16783.300	-80.74	2.2259	9023.438		2	0	0	0	0	0	0		
31	Spectrogram 1	2	418.399329940	419.350570054	7995.500	16063.000	-78.92	0.9512	9375.000		2	0	0	0	0	0	0		
32	Spectrogram 1	2	422.723460247	423.826898778	4393.900	12389.400	-76.98	1.1034	8671.875		1	0	0	0	0	0	0		
33	Spectrogram 1	2	425.023953633	425.861044932	9868.300	15630.800	-84.44	0.8371	12656.250		3	1	0	0	1	0	0		
34	Spectrogram 1	2	428.551566450	429.642321780	8499.700	20168.800	-82.89	1.0908	9257.812		2	0	0	0	0	0	0		
35	Spectrogram 1	2	430.424298140	431.350171850	10012.300	17503.600	-67.33	0.9259	12187.500		1	0	0	0	0	0	0		
36	Spectrogram 1	2	432.402877576	433.449241700	5978.600	12821.600	-75.10	1.0464	9257.812		1	0	0	0	0	0	0		
37	Spectrogram 1	2	434.926332107	436.486365893	8427.700	15630.800	-70.19	1.5600	8789.062		2	0	0	0	0	0	0		
38	Spectrogram 1	2	438.208480422	438.506535657	9652.200	12461.400	-77.21	0.2981	9960.938		1	0	0	0	0	0	0		
39	Spectrogram 1	2	447.766791827	448.223387082	10444.500	15126.600	-81.82	0.4566	13476.562		2	0	0	0	0	0	0		
40	Spectrogram 1	2	452.070677712	452.799961799	2377.000	41706.100	-67.97	0.7293	6210.938		2	1	1	0	0	0	0		
41	Spectrogram 1	2	462.622988409	463.009826055	1728.800	31477.700	-65.13	0.3868	3515.625		3	1	0	1	0	0	0		
42	Spectrogram 1	2	463.270497966	463.473429190	9940.300	13109.700	-82.19	0.2029	10312.500		2	0	0	0	0	0	0		
43	Spectrogram 1	2	468.914985816	469.200357850	11308.900	15414.700	-82.32	0.2854	12304.688		3	1	0	0	1	0	0		
