Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Inband Power (dB FS)	Delta Time (s)	Peak Freq (Hz)	SNR	SQ	NLP	BP	DC	FJ	SH	SB	E-Clicks in frame	Notes
1	Spectrogram 1	2	0.722942486	0.830749699	720.300	11453.000	-71.51	0.1078	1757.812		2	0	0	0	0	0	0		
2	Spectrogram 1	2	0.881482505	1.160512938	648.300	13037.700	-71.12	0.2790	1875.000		2	0	0	0	0	0	0		
3	Spectrogram 1	2	1.217587345	1.414176968	864.400	22257.700	-69.37	0.1966	1992.188		2	0	0	0	0	0	0		
4	Spectrogram 1	2	1.490276177	1.959554633	648.300	8139.500	-71.34	0.4693	703.125		2	0	0	0	0	0	0		
5	Spectrogram 1	2	375.951043337	376.166284404	3208.800	21748.700	-75.10	0.2152	3515.625		2	0	0	0	0	0	0		
6	Spectrogram 1	2	472.620669280	472.782100080	3241.400	13830.000	-68.48	0.1614	3515.625		2	0	0	0	0	0	0		
7	Spectrogram 1	2	473.405402337	473.548896382	4249.800	15126.600	-78.97	0.1435	9023.438		2	0	0	0	0	0	0		
8	Spectrogram 1	2	493.541777922	493.734598045	2809.200	12533.400	-77.34	0.1928	3281.250		2	0	0	0	0	0	0		
9	Spectrogram 1	2	496.940606067	497.545971569	16279.100	81683.400	-64.62	0.6054	29648.438		2	0	0	0	0	0	0		Higher frequency
10	Spectrogram 1	2	503.047797076	503.263038143	2139.200	17623.100	-63.56	0.2152	2695.312		2	0	0	0	0	0	0		Funny lookin
11	Spectrogram 1	2	516.615280868	516.866395446	1018.700	47775.900	-64.41	0.2511	1289.062		2	0	0	0	0	0	0		
12	Spectrogram 1	2	519.822754543	520.607487600	1120.500	51545.000	-62.65	0.7847	11367.188		3	2	1	1	0	0	0		
13	Spectrogram 1	2	587.547143474	587.739963596	15280.100	59083.200	-63.54	0.1928	39609.375		2	0	0	0	0	0	0		Higher frequency
14	Spectrogram 1	2	601.264918779	601.439802146	17317.500	58268.300	-69.25	0.1749	27187.500		2	0	0	0	0	0	0		Higher frequency
15	Spectrogram 1	2	634.548922257	634.678963735	19160.300	64972.200	-52.63	0.1300	38203.125		2	0	0	0	0	0	0		
16	Spectrogram 1	2	680.474113612	680.666933735	19354.800	59083.200	-61.81	0.1928	39257.812		2	0	0	0	0	0	0		
17	Spectrogram 1	2	721.088940328	721.192076673	17928.700	59083.200	-68.58	0.1031	28593.750		2	0	0	0	0	0	0		
18	Spectrogram 1	2	868.474245614	868.667065737	2852.300	20169.800	-69.10	0.1928	3164.062		2	0	0	0	0	0	0		
19	Spectrogram 1	2	950.917392496	951.482400297	1324.300	33820.000	-64.33	0.5650	9140.625		2	0	0	0	0	0	0		
20	Spectrogram 1	2	952.520806535	953.103751092	1426.100	40848.900	-66.74	0.5829	3984.375		2	0	0	0	0	0	0		
21	Spectrogram 1	2	954.650237896	955.309413664	1528.000	36468.600	-71.56	0.6592	4804.688		2	0	0	0	0	0	0		
22	Spectrogram 1	2	956.809144195	957.522130230	1222.400	36366.700	-67.57	0.7130	2695.312		2	0	0	0	0	0	0		
23	Spectrogram 1	2	958.858418522	959.540015234	1222.400	41358.200	-69.03	0.6816	1406.250		3	0	0	0	0	0	0		
24	Spectrogram 1	2	971.030341417	971.478760307	1222.400	21188.500	-74.58	0.4484	1289.062		3	0	0	0	0	0	0		
25	Spectrogram 1	2	972.644649420	973.205173032	1731.700	24550.100	-74.51	0.5605	2695.312		3	0	0	0	0	0	0		
26	Spectrogram 1	2	973.825904107	974.476111497	1324.300	30764.000	-70.92	0.6502	2812.500		3	0	0	0	0	0	0		
