Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Inband Power (dB FS)	Delta Time (s)	Peak Freq (Hz)	SNR	SQ	NLP	BP	DC	FJ	SH	SB	E-Clicks in frame	Notes
1	Spectrogram 1	2	111.528365637	112.161764998	7472.924	12779.783	-54.50	0.6334	7500.000		2	0	0	0	0	0	0		
2	Spectrogram 1	2	113.362021636	114.095697741	7039.711	14296.029	-52.48	0.7337	7500.000	13.6	2	0	0	0	0	0	0		
3	Spectrogram 1	2	115.871729484	116.545993319	8122.744	15703.971	-54.07	0.6743	11953.125		2	0	0	0	0	0	0		
4	Spectrogram 1	2	117.376904307	118.269112008	8664.260	11155.235	-55.66	0.8922	9140.625		2	0	0	0	0	0	0		
5	Spectrogram 1	2	127.037206959	127.906749010	6931.408	9584.838	-58.93	0.8695	7500.000	9.3	2	0	0	0	0	0	0		
6	Spectrogram 1	2	130.449468564	131.246325824	12563.177	13916.968	-55.35	0.7969	13476.562		2	0	0	0	0	0	0		
7	Spectrogram 1	2	131.510284047	131.973414762	10667.870	15054.152	-50.48	0.4631	15000.000		2	0	0	0	0	0	0		
8	Spectrogram 1	2	138.704218362	139.024323415	8610.108	11101.083	-48.72	0.3201	9375.000		2	0	0	0	0	0	0		
9	Spectrogram 1	2	139.633547995	140.335054813	10667.870	22364.621	-44.46	0.7015	13828.125		2	0	0	0	0	0	0		
10	Spectrogram 1	2	140.567871419	141.235324509	8555.957	15812.274	-43.40	0.6675	9960.938		2	0	0	0	0	0	0		
11	Spectrogram 1	2	141.383909668	142.173956181	8555.957	21173.285	-46.06	0.7900	9960.938		2	0	0	0	0	0	0		
12	Spectrogram 1	2	141.445206380	142.378278556	9205.776	15866.426	-46.62	0.9331	9960.938		2	0	0	0	0	0	0		
13	Spectrogram 1	2	142.440595400	142.930969098	7093.863	9097.473	-55.05	0.4904	7500.000		2	0	0	0	0	0	0		
14	Spectrogram 1	2	143.429583288	144.246872785	10451.264	21552.347	-45.66	0.8173	12187.500		2	0	0	0	0	0	0		
15	Spectrogram 1	2	146.073560002	147.163279331	8122.744	17924.188	-43.72	1.0897	9843.750		3	0	0	0	0	0	0		
16	Spectrogram 1	2	147.183711569	148.048676286	8555.957	22364.621	-43.81	0.8650	9609.375		2	0	0	0	0	0	0		
17	Spectrogram 1	2	148.586725205	149.342717990	6498.195	10613.718	-51.12	0.7560	9726.562		2	0	0	0	0	0	0		
18	Spectrogram 1	2	151.503332655	152.252514694	6444.043	11317.690	-55.15	0.7492	9609.375		2	0	0	0	0	0	0		
19	Spectrogram 1	2	154.352484580	155.019937669	10559.567	21660.650	-55.33	0.6675	10898.438		2	0	0	0	0	0	0		
20	Spectrogram 1	2	155.313387851	156.198784806	8501.805	17057.762	-52.23	0.8854	9843.750		2	0	0	0	0	0	0		
21	Spectrogram 1	2	158.913140358	159.560161210	8664.260	20415.162	-49.10	0.6470	9492.188		2	0	0	0	0	0	0		
22	Spectrogram 1	2	163.585183567	164.161613955	11859.200	20631.800	-58.23	0.5764	15468.750	7.1	2	0	0	0	0	0	0		
23	Spectrogram 1	2	164.090073782	164.628122701	5415.162	11859.206	-45.69	0.5380	5859.375		2	0	0	0	0	0	0		
24	Spectrogram 1	2	166.207941833	166.630657450	7472.900	11696.800	-53.76	0.4227	9843.750	11.1	2	0	0	0	0	0	0		
25	Spectrogram 1	2	169.258967617	169.762962807	16353.791	20144.404	-87.99	0.5040	18750.000		2	0	0	0	0	0	0		
26	Spectrogram 1	2	172.181361831	172.698978512	13158.845	16732.852	-54.55	0.5176	13593.750		2	0	0	0	0	0	0		
27	Spectrogram 1	2	172.377018445	172.972663179	5740.100	9530.700	-47.10	0.5956	5859.375	10	2	0	0	0	0	0	0		
28	Spectrogram 1	2	173.012272819	173.604807705	6823.105	14675.090	-50.08	0.5925	9023.438		2	0	0	0	0	0	0		
29	Spectrogram 1	2	174.548239573	175.278384731	8014.400	17436.800	-49.79	0.7301	9492.188	11.2	2	0	0	0	0	0	0		
30	Spectrogram 1	2	176.095701680	176.854668358	8122.700	16245.500	-47.36	0.7590	10195.312	16.8	2	1	0	0	1	0	0		
31	Spectrogram 1	2	177.589052542	178.175090103	11750.900	19332.100	-48.36	0.5860	12304.688	8.9	2	0	0	0	0	0	0		
32	Spectrogram 1	2	178.242340315	178.847592222	9151.600	10613.700	-52.52	0.6053	9609.375	14.4	2	0	0	0	0	0	0		
33	Spectrogram 1	2	178.338412046	179.158592325	8068.600	15920.578	-49.51	0.8202	9609.375	20.8	2	0	0	0	0	0	0		
34	Spectrogram 1	2	181.364624834	182.229589551	8122.744	17328.520	-47.00	0.8650	9726.562		2	0	0	0	0	0	0		
35	Spectrogram 1	2	187.858131702	188.780420323	7960.300	15974.700	-77.35	0.9223	10429.688	12.4	2	1	0	0	1	0	0		
36	Spectrogram 1	2	190.137009668	190.684618537	8447.700	13646.200	-55.94	0.5476	9960.938	10.8	3	0	0	0	0	0	0		
37	Spectrogram 1	2	190.457094966	191.267573717	7906.137	15487.365	-52.12	0.8105	9726.562		2	0	0	0	0	0	0		
38	Spectrogram 1	2	194.162500481	195.163680115	8989.170	14187.726	-53.23	1.0012	9492.188		2	0	0	0	0	0	0		
39	Spectrogram 1	2	196.638520203	197.301415149	8989.200	19115.500	-53.31	0.6629	10078.125	11.2	2	0	0	0	0	0	0		
40	Spectrogram 1	2	197.895382897	198.460674799	8555.957	15487.365	-52.25	0.5653	9960.938		2	0	0	0	0	0	0		
41	Spectrogram 1	2	198.987473702	200.082691439	9963.900	19657.000	-56.03	1.0952	10898.438		2	0	0	0	0	0	0		
42	Spectrogram 1	2	199.148560126	200.129307522	5794.224	12021.661	-47.90	0.9807	5859.375		2	0	0	0	0	0	0		
43	Spectrogram 1	2	200.973190869	202.832524475	8285.199	18953.069	-52.17	1.8593	9492.188		2	0	0	0	0	0	0		
44	Spectrogram 1	2	203.023225358	203.847325601	7797.834	16353.791	-50.95	0.8241	9492.188		2	0	0	0	0	0	0		
45	Spectrogram 1	2	206.543500691	207.776245682	8122.744	17599.278	-78.81	1.2327	10312.500		2	1	0	0	1	0	0		
46	Spectrogram 1	2	207.462951375	208.280240872	7906.137	19873.646	-48.68	0.8173	9843.750		2	0	0	0	0	0	0		
47	Spectrogram 1	2	208.675030211	209.669399099	6010.830	12184.116	-45.23	0.9944	9726.562		3	1	0	0	1	0	0		
48	Spectrogram 1	2	211.280566800	212.446455914	7738.693	13015.075	-48.15	1.1659	9843.750		2	0	0	0	0	0	0		
49	Spectrogram 1	2	212.204309713	212.845548726	6934.673	10251.256	-45.96	0.6412	7031.250		2	0	0	0	0	0	0		
50	Spectrogram 1	2	215.185288234	216.059705069	7437.186	12110.553	-47.55	0.8744	9843.750		3	0	0	0	0	0	0		
51	Spectrogram 1	2	215.687517391	216.588839359	6432.161	16432.161	-43.30	0.9013	6562.500		2	1	0	0	1	0	0		
52	Spectrogram 1	2	216.893764204	217.212141616	7738.693	10050.251	-52.88	0.3184	9726.562		2	0	0	0	0	0	0		
53	Spectrogram 1	2	217.328730527	218.019295617	7939.698	14673.367	-46.52	0.6906	10312.500		2	0	0	0	0	0	0		
54	Spectrogram 1	2	218.181092143	219.028603845	6080.402	16432.161	-43.16	0.8475	6679.688		2	0	0	0	0	0	0		
55	Spectrogram 1	2	221.789851508	222.727046987	7437.186	19949.749	-45.19	0.9372	9609.375		2	0	0	0	0	0	0		
56	Spectrogram 1	2	227.260560587	228.188787689	6834.171	15728.643	-46.50	0.9282	7148.438		2	0	0	0	0	0	0		
57	Spectrogram 1	2	243.614567828	245.201970698	854.271	29396.985	-38.06	1.5874	7851.562		1	1	0	1	0	0	0		
58	Spectrogram 1	2	245.564735667	246.031091313	5979.899	10603.015	-86.57	0.4664	8789.062		2	0	0	0	0	0	0		
59	Spectrogram 1	2	246.075933202	246.757529914	9497.487	14422.111	-81.51	0.6816	11484.375		2	0	0	0	0	0	0		
60	Spectrogram 1	2	246.739593159	247.035549626	7386.935	9798.995	-88.84	0.2960	8789.062		2	0	0	0	0	0	0		
61	Spectrogram 1	2	248.869303014	250.174201983	603.015	29698.492	-37.82	1.3049	7968.750		1	1	0	1	0	0	0		
62	Spectrogram 1	2	254.763991621	255.607019133	6432.161	12010.050	-44.66	0.8430	6679.688		3	1	0	0	1	0	0		
63	Spectrogram 1	2	258.742018561	259.647824719	6834.171	16080.402	-49.13	0.9058	7265.625		2	1	0	0	1	0	0		
64	Spectrogram 1	2	270.542376969	271.277783948	11809.045	20050.251	-48.49	0.7354	19453.125		2	0	0	0	0	0	0		
65	Spectrogram 1	2	271.241910437	272.134264027	6984.925	16180.905	-74.89	0.8924	7031.250		2	1	0	0	1	0	0		
66	Spectrogram 1	2	271.676876760	272.466094006	5477.387	15326.633	-56.21	0.7892	6445.312		2	0	0	0	0	0	0		
67	Spectrogram 1	2	273.632256013	274.493220281	7788.945	20150.754	-51.14	0.8610	8671.875		3	0	0	0	0	0	0		
68	Spectrogram 1	2	274.591872437	275.345216171	10804.020	20150.754	-85.48	0.7533	11250.000		2	0	0	0	0	0	0		
69	Spectrogram 1	2	275.699467094	276.475231774	11306.533	17989.950	-82.95	0.7758	11484.375		3	1	0	0	1	0	0		
70	Spectrogram 1	2	277.178242334	277.918133503	10201.005	19045.226	-53.81	0.7399	10312.500		3	0	0	0	0	0	0		
71	Spectrogram 1	2	277.761186891	278.698382371	8492.462	13216.080	-54.86	0.9372	10195.312		3	0	0	0	0	0	0		
72	Spectrogram 1	2	278.097501058	279.070570049	6984.925	15979.899	-55.09	0.9731	10195.312		2	1	0	0	1	0	0		
73	Spectrogram 1	2	278.931560193	279.608672717	9246.231	16934.673	-53.54	0.6771	10195.312		2	0	0	0	0	0	0		
74	Spectrogram 1	2	288.143087157	289.035440747	5477.387	15477.387	-46.06	0.8924	6328.125		2	1	0	0	1	0	0		
75	Spectrogram 1	2	291.185291439	291.844467207	9095.477	17336.683	-47.52	0.6592	13125.000		3	0	0	0	0	0	0		
76	Spectrogram 1	2	293.490164532	293.884773155	10150.754	15226.131	-48.72	0.3946	12421.875		3	1	0	0	1	0	0		
77	Spectrogram 1	2	295.164778431	295.922606355	6884.422	14673.367	-44.81	0.7578	6914.062		3	1	0	0	1	0	0		
78	Spectrogram 1	2	302.439597100	303.560644324	5778.894	15678.392	-83.62	1.1210	13007.812		2	1	0	0	1	0	0		
79	Spectrogram 1	2	309.917384449	310.527234139	11407.035	20301.508	-45.58	0.6098	13242.188		3	0	0	0	0	0	0		
80	Spectrogram 1	2	317.544626888	318.239676167	6432.161	13567.839	-46.14	0.6950	6445.312		2	1	0	0	1	0	0		
81	Spectrogram 1	2	317.741931200	319.091672058	10100.503	17537.688	-47.94	1.3497	13359.375		2	0	0	0	0	0	0		
82	Spectrogram 1	2	320.665982485	321.988818209	4974.874	17085.427	-45.63	1.3228	6210.938		2	0	0	0	0	0	0		
83	Spectrogram 1	2	324.167126918	325.341984409	8140.704	19497.487	-47.33	1.1749	9843.750		2	1	0	0	1	0	0		
84	Spectrogram 1	2	329.134042754	329.515198810	1306.533	29346.734	-49.09	0.3812	1875.000		2	1	0	1	0	0	0		
85	Spectrogram 1	2	335.421705472	335.847703417	1356.784	29497.487	-42.04	0.4260	6445.312		2	1	0	1	0	0	0		
86	Spectrogram 1	2	335.975633646	336.589967525	1005.025	28643.216	-36.49	0.6143	6914.062		1	0	0	0	0	0	0		Ask
87	Spectrogram 1	2	1006.556605838	1007.013993106	918.367	29540.816	-36.46	0.4574	5859.375		1	1	0	1	0	0	0		
88	Spectrogram 1	2	1008.536141781	1009.060791882	1632.653	29642.857	-42.09	0.5247	6562.500		2	1	0	1	0	0	0		
89	Spectrogram 1	2	1010.864444340	1011.438420519	1173.469	29846.939	-41.67	0.5740	5390.625		2	1	0	1	0	0	0		
90	Spectrogram 1	2	1012.107570384	1013.385564220	867.347	29897.959	-42.07	1.2780	5156.250		2	1	0	1	0	0	0		
91	Spectrogram 1	2	1016.487705872	1016.989935029	765.306	29540.816	-36.06	0.5022	5039.062		1	1	0	1	0	0	0		
92	Spectrogram 1	2	1020.065721511	1020.697992146	1224.490	29591.837	-46.20	0.6323	6328.125		2	1	0	1	0	0	0		
93	Spectrogram 1	2	1035.596193679	1036.237432692	1224.490	29744.898	-37.12	0.6412	5859.375		1	1	0	1	0	0	0		
94	Spectrogram 1	2	1039.334087236	1039.692822347	1275.510	29744.898	-43.64	0.3587	6210.938		2	1	0	1	0	0	0		
95	Spectrogram 1	2	1048.213412894	1048.531790306	1020.408	29744.898	-41.28	0.3184	2226.562		2	1	0	1	0	0	0		
96	Spectrogram 1	2	1697.022945437	1697.897362272	7448.980	12040.816	-55.43	0.8744	7500.000		3	0	0	0	0	0	0		
97	Spectrogram 1	2	1782.143141887	1783.237283978	1173.469	29489.796	-37.79	1.0941	5273.438		2	1	0	1	0	0	0		
98	Spectrogram 1	2	2350.172258568	2351.575809693	1020.408	29489.796	-36.78	1.4036	5742.188		2	1	0	1	0	0	0		
99	Spectrogram 1	2	2353.639722368	2354.132983146	1122.449	29591.837	-35.12	0.4933	6210.938		2	1	0	1	0	0	0		
100	Spectrogram 1	2	2355.419945360	2356.141899772	1071.429	29540.816	-37.48	0.7220	6210.938		2	1	0	1	0	0	0		
101	Spectrogram 1	2	2358.072932495	2358.826276230	1020.408	29897.959	-40.06	0.7533	3867.188		2	1	0	1	0	0	0		
102	Spectrogram 1	2	2361.706311284	2362.091951529	1326.531	29846.939	-33.40	0.3856	6093.750		2	1	0	1	0	0	0		
103	Spectrogram 1	2	2368.181762772	2368.657086796	1173.469	29387.755	-36.59	0.4753	2343.750		2	1	0	1	0	0	0		
104	Spectrogram 1	2	2373.437865178	2374.034262301	1173.469	29795.918	-43.48	0.5964	2226.562		2	1	0	1	0	0	0		
