Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Inband Power (dB FS)	Delta Time (s)	Peak Freq (Hz)	SNR	SQ	NLP	BP	DC	FJ	SH	SB	E-Clicks in frame	Notes
1	Spectrogram 1	2	270.713678182	271.741017505	1324.300	14159.600	-58.26	1.0273	2109.375		3	0	0	0	0	0	0		
2	Spectrogram 1	2	273.788450970	274.435294247	1120.500	16757.200	-54.46	0.6468	1992.188		3	0	0	0	0	0	0		
3	Spectrogram 1	2	276.778885650	277.425728927	1324.300	10543.300	-58.69	0.6468	1992.188		3	0	0	0	0	0	0		
4	Spectrogram 1	2	283.732995912	284.563745611	1578.900	15483.900	-60.00	0.8307	1992.188		3	0	0	0	0	0	0		
5	Spectrogram 1	2	287.320822852	287.618878087	1324.300	14974.500	-54.27	0.2981	2226.562		2	0	0	0	0	0	0		
6	Spectrogram 1	2	290.840586380	291.138641616	1680.800	17674.000	-55.01	0.2981	3515.625		3	0	0	0	0	0	0		
7	Spectrogram 1	2	292.108906531	292.445011371	1884.600	15025.500	-57.19	0.3361	2226.562		3	0	0	0	0	0	0		
8	Spectrogram 1	2	296.871222799	297.625873289	1120.500	14923.600	-56.58	0.7547	2343.750		3	1	0	1	0	0	0		Many confocal and conspecific buzzes
9	Spectrogram 1	2	299.331763892	299.984948770	865.900	13955.900	-58.40	0.6532	3750.000		3	1	0	1	0	0	0		
10	Spectrogram 1	2	303.727346003	305.147864572	967.700	18489.000	-51.93	1.4205	2343.750		2	0	0	0	0	0	0		
11	Spectrogram 1	2	306.118129488	307.564014460	1120.500	16247.900	-58.20	1.4459	2226.562		3	1	0	1	0	0	0		
12	Spectrogram 1	2	310.840210784	312.970988638	1069.600	17113.800	-54.23	2.1308	1992.188		3	1	0	1	0	0	0		
13	Spectrogram 1	2	317.668381209	318.404006897	1833.600	14974.500	-59.00	0.7356	2226.562		3	1	0	1	0	0	0		
14	Spectrogram 1	2	321.020400073	321.457970525	1324.300	19151.100	-51.66	0.4376	2109.375		3	1	0	1	0	0	0		
15	Spectrogram 1	2	326.054727494	326.530347550	1171.500	18641.800	-53.66	0.4756	2109.375		3	1	0	1	0	0	0		
16	Spectrogram 1	2	411.133589063	411.609209119	1171.500	20169.800	-54.17	0.4756	2695.312		3	0	0	0	0	0	0		
17	Spectrogram 1	2	412.408250815	412.763380457	1222.400	20118.800	-51.76	0.3551	2578.125		2	0	0	0	0	0	0		
18	Spectrogram 1	2	414.492565036	415.716493982	1222.400	19813.200	-54.83	1.2239	2578.125		2	1	0	1	0	0	0		
19	Spectrogram 1	2	429.600505551	430.729310486	1833.600	15993.200	-50.79	1.1288	4687.500		3	1	0	1	0	0	0		
20	Spectrogram 1	2	430.938583310	431.566401785	1935.500	14057.700	-51.72	0.6278	4335.938		3	1	0	1	0	0	0		
21	Spectrogram 1	2	432.178459513	432.882377196	1680.800	14414.300	-52.97	0.7039	3398.438		2	1	0	1	0	0	0		
22	Spectrogram 1	2	434.725925089	435.131787537	1680.800	16196.900	-50.74	0.4059	4335.938		2	1	0	1	0	0	0		
23	Spectrogram 1	2	441.628574096	442.313466977	1680.800	15789.500	-52.70	0.6849	1757.812		3	1	0	1	0	0	0		
24	Spectrogram 1	2	447.686886623	448.619101934	1222.400	17572.200	-59.78	0.9322	2812.500		3	1	0	1	0	0	0		
25	Spectrogram 1	2	454.932636951	455.915585068	1629.900	20067.900	-59.61	0.9829	2929.688		3	1	0	1	0	0	0		
26	Spectrogram 1	2	493.010555839	493.619349511	814.900	23582.300	-59.45	0.6088	1640.625		2	2	1	1	0	0	0		
27	Spectrogram 1	2	495.401051254	495.946428919	865.900	24499.200	-54.95	0.5454	7148.438		2	2	1	1	0	0	0		
28	Spectrogram 1	2	497.747567873	498.299287138	967.700	25416.000	-56.02	0.5517	10078.125		2	2	1	1	0	0	0		
29	Spectrogram 1	2	504.004486477	504.486448135	611.200	27351.400	-56.31	0.4820	9960.938		2	2	1	1	0	0	0		
