Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Inband Power (dB FS)	Delta Time (s)	Peak Freq (Hz)	SNR	SQ	NLP	BP	DC	FJ	SH	SB	E-Clicks in frame	Notes
1	Spectrogram 1	1	51.780218704	52.414250481	2800.000	17885.700	-83.54	0.6340	3398.438	8.6	3	0	0	0	0	0	0		Double check low quality
2	Spectrogram 1	1	55.140521041	55.839581718	2114.300	16285.700	-83.26	0.6991	2343.750	8.9	3	0	0	0	0	0	0		
3	Spectrogram 1	1	61.978043660	63.213592764	1771.400	10628.600	-75.96	1.2355	2578.125	9.8	3	1	0	0	1	0	0		
4	Spectrogram 1	1	64.306918021	65.014107311	1600.000	10285.700	-78.46	0.7072	1992.188	6.9	3	0	0	0	0	0	0		
5	Spectrogram 1	1	66.150903411	66.638620163	2057.100	9771.400	-78.86	0.4877	2226.562	10.4	3	0	0	0	0	0	0		
6	Spectrogram 1	1	67.974233710	68.608265488	2171.400	9600.000	-74.68	0.6340	2578.125	17.9	3	0	0	0	0	0	0		
7	Spectrogram 1	1	72.622945154	73.858494259	1542.900	10228.600	-77.10	1.2355	2226.562	6.8	3	0	0	0	0	0	0		
8	Spectrogram 1	1	75.085914751	76.419007205	1200.000	9657.100	-73.64	1.3331	1875.000	6.7	3	0	0	0	0	0	0		
9	Spectrogram 1	1	77.737153874	79.257204417	1885.700	10057.100	-80.06	1.5201	2578.125	7.3	3	0	0	0	0	0	0		
10	Spectrogram 1	1	88.004042315	88.719360218	2171.400	9942.900	-72.35	0.7153	2343.750	8.6	3	1	0	0	1	0	0		
11	Spectrogram 1	1	92.608025219	93.916731836	1942.900	10342.900	-72.73	1.3087	2460.938	13.6	3	0	0	0	0	0	0		
12	Spectrogram 1	1	94.945979201	96.913103433	2114.300	9942.900	-76.78	1.9671	2226.562	9.3	3	0	0	0	0	0	0		
13	Spectrogram 1	1	97.567176924	98.875883542	2057.100	8342.900	-80.51	1.3087	3632.812	10.4	3	0	0	0	0	0	0		
14	Spectrogram 1	1	99.875702883	101.346981750	2114.300	8400.000	-69.65	1.4713	2460.938	15.7	3	0	0	0	0	0	0		
15	Spectrogram 1	1	106.996168255	107.760257833	2285.700	9085.700	-82.62	0.7641	2578.125	9.3	3	0	0	0	0	0	0		
16	Spectrogram 1	1	113.741454055	114.326714157	1771.400	8457.100	-72.77	0.5853	1992.188	13	3	0	0	0	0	0	0		
17	Spectrogram 1	1	126.086192276	127.411156118	1771.400	9314.300	-80.50	1.3250	2460.938	8.5	3	0	0	0	0	0	0		
18	Spectrogram 1	1	128.189330859	129.644352502	1714.300	9371.400	-72.78	1.4550	1992.188	16.7	3	0	0	0	0	0	0		
19	Spectrogram 1	1	130.281212061	131.614304515	2000.000	7885.700	-74.92	1.3331	2460.938	14.5	3	0	0	0	0	0	0		
20	Spectrogram 1	1	132.401876965	133.604911619	1657.100	8742.900	-77.37	1.2030	3750.000	7.3	3	0	0	0	0	0	0		
21	Spectrogram 1	1	137.167813043	138.582191623	1314.300	8057.100	-74.70	1.4144	1523.438	16.6	3	0	0	0	0	0	0		
22	Spectrogram 1	1	134.851158472	136.444366528	1771.400	8057.100	-83.78	1.5932	2109.375	6.8	4	0	0	0	0	0	0		Horrendous quality
