Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Inband Power (dB FS)	Delta Time (s)	Peak Freq (Hz)	SNR	SQ	NLP	BP	DC	FJ	SH	SB	E-Clicks in frame	Notes
1	Spectrogram 1	1	145.299085675	145.730170453	228.600	22571.400	-70.52	0.4311	20742.188	13.1	2	0	0	0	0	0	0		
2	Spectrogram 1	1	147.030962515	147.370082540	285.700	22800.000	-68.32	0.3391	20976.562	15.4	2	0	0	0	0	0	0		
3	Spectrogram 1	1	150.973069970	151.145503881	285.700	24514.300	-68.52	0.1724	937.500	15.1	2	0	0	0	0	0	0		
4	Spectrogram 1	1	189.960815661	190.386152642	8514.300	12457.100	-80.03	0.4253	9843.750	11.3	2	0	0	0	0	0	0		
5	Spectrogram 1	1	269.445165392	269.950971532	285.700	25885.700	-43.74	0.5058	23789.062	25.5	2	0	0	0	0	0	0		
6	Spectrogram 1	1	488.259900491	488.742715443	8228.600	9485.700	-94.93	0.4828	8554.688	10.0	2	0	0	0	0	0	0		may not be all of call
7	Spectrogram 1	1	1183.256290292	1183.974764922	8514.300	10057.100	-91.69	0.7185	9023.438	13.5	2	0	0	0	0	0	0		
8	Spectrogram 1	1	1304.721246177	1305.215556723	5314.300	22971.400	-77.69	0.4943	17578.125	8.3	1	0	0	0	0	0	0		
9	Spectrogram 1	1	1305.807579818	1306.405350710	4628.600	25542.900	-63.35	0.5978	11835.938	24.0	1	0	0	0	0	0	0		
10	Spectrogram 1	1	1307.158312122	1307.681361653	5371.400	22114.300	-68.36	0.5230	11718.750	19.1	1	0	0	0	0	0	0		
11	Spectrogram 1	1	1546.977811161	1547.611842938	285.714	27085.714	-36.91	0.6340	26953.125	49.4	1	0	0	0	0	0	0		
12	Spectrogram 1	1	1842.241855764	1842.542614427	5771.429	7885.714	-87.87	0.3008	5976.562	11.4	2	0	0	0	0	0	0		
13	Spectrogram 1	1	3475.135597491	3475.631442855	342.857	28971.429	-62.82	0.4958	22148.438	21.0	1	1	0	1	0	0	0		
14	Spectrogram 1	1	3479.696404839	3480.249150491	285.714	29314.286	-59.67	0.5527	10664.062	24.1	2	2	1	1	0	0	0		
15	Spectrogram 1	1	3484.314756795	3484.891888285	342.857	29657.143	-59.90	0.5771	23554.688	23.9	1	2	1	1	0	0	0		
16	Spectrogram 1	1	3489.093531740	3489.605634329	457.143	29485.714	-62.04	0.5121	5039.062	21.8	1	2	1	1	0	0	0		
17	Spectrogram 1	1	3489.865749930	3490.824926208	457.143	26514.286	-65.97	0.9592	3515.625			0	0	0	0	0	0		ask Nick
18	Spectrogram 1	1	3491.052527359	3491.540244111	400.000	29485.714	-63.99	0.4877	12070.312	19.8	1	2	1	1	0	0	0		
