Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Inband Power (dB FS)	Delta Time (s)	Peak Freq (Hz)	SNR	SQ	NLP	BP	DC	FJ	SH	SB	E-Clicks in frame	Notes
1	Spectrogram 1	2	33.968636676	35.070063673	8457.100	10800.000	-89.81	1.1014	9375.000	12.7	2	0	0	0	0	0	0		
2	Spectrogram 1	2	67.022229336	67.696904176	10000.000	15428.600	-87.87	0.6747	12304.688	8.1	2	0	0	0	0	0	0		
3	Spectrogram 1	2	67.729418626	68.623566005	8228.600	13257.100	-88.00	0.8941	10898.438	7.2	2	0	0	0	0	0	0		
4	Spectrogram 1	2	158.041131978	159.878198409	10000.000	22628.600	-85.12	1.8371	10195.312	6.5	3	1	0	0	1	0	0		
5	Spectrogram 1	2	276.219784497	276.772530149	6571.400	12057.100	-81.36	0.5527	11484.375	7.3	2	0	0	0	0	0	0		
6	Spectrogram 1	2	277.569134177	278.260066242	7142.900	13885.700	-80.87	0.6909	11953.125	7.9	2	0	0	0	0	0	0		
7	Spectrogram 1	2	281.521607025	282.261310765	7314.300	13200.000	-81.40	0.7397	9257.812	7.3	2	0	0	0	0	0	0		
8	Spectrogram 1	2	287.403689812	288.208422452	7257.100	13428.600	-82.52	0.8047	11835.938	8.4	2	0	0	0	0	0	0		
9	Spectrogram 1	2	290.698304679	291.267307556	9428.600	19657.100	-83.84	0.5690	14179.688	6.8	2	0	0	0	0	0	0		
10	Spectrogram 1	2	334.867322824	335.680184077	6514.300	12514.300	-82.89	0.8129	9492.188	8.9	2	0	0	0	0	0	0		
11	Spectrogram 1	2	390.954727386	391.775717252	5028.600	17485.700	-80.20	0.8210	11484.375	13.1	2	0	0	0	0	0	0		
12	Spectrogram 1	2	391.301108099	393.073835331	8517.857	14571.429	-78.12	1.7727	10546.875	7.3	2	1	0	0	1	0	0		
13	Spectrogram 1	2	392.616043134	393.580328826	5464.286	20464.286	-76.77	0.9643	11132.812	12.4	2	0	0	0	0	0	0		
14	Spectrogram 1	2	425.499447156	426.941005564	8089.286	25928.571	-73.09	1.4416	12421.875	16.2	3	1	0	0	0	0	1		
15	Spectrogram 1	2	422.314382295	423.385810841	5357.143	29946.429	-66.91	1.0714	12421.875	22.5	2	1	0	0	1	0	0		Ask Nick about quality
16	Spectrogram 1	2	448.674655293	449.268811124	7660.714	13553.571	-84.48	0.5942	11601.562	6.5	2	0	0	0	0	0	0		
17	Spectrogram 1	2	448.893811132	449.955499419	7125.000	9482.143	-87.50	1.0617	7148.438	8.8	3	0	0	0	0	0	0		
18	Spectrogram 1	2	449.224979956	450.276927983	5250.000	20250.000	-81.86	1.0519	11015.625	7.8	2	1	0	0	1	0	0		
19	Spectrogram 1	2	755.441453556	756.094050943	14089.286	21375.000	-88.23	0.6526	17578.125	7.3	2	0	0	0	0	0	0		
20	Spectrogram 1	2	758.869576144	759.561134569	14303.571	20625.000	-90.27	0.6916	17109.375	10.3	2	0	0	0	0	0	0		
21	Spectrogram 1	2	763.496056982	764.216836186	5410.714	10285.714	-87.66	0.7208	7382.812	7.5	2	0	0	0	0	0	0		
22	Spectrogram 1	2	802.068357388	802.419006731	3428.571	23732.143	-45.23	0.3506	4804.688	46.3	1	0	0	0	0	0	0		
23	Spectrogram 1	2	955.570926901	956.281965845	160.714	28982.143	-28.24	0.7110	7382.812	45.9	1	2	1	1	0	0	0		
24	Spectrogram 1	2	958.906468607	959.598027032	482.143	29571.429	-27.45	0.6916	8554.688	46.7	1	2	1	1	0	0	0		
25	Spectrogram 1	2	962.099524281	962.781342447	696.429	29571.429	-27.86	0.6818	7617.188	46.3	1	2	1	1	0	0	0		
26	Spectrogram 1	2	965.346813124	966.106553366	535.714	29571.429	-28.15	0.7597	9257.812	46.0	1	2	1	1	0	0	0		
27	Spectrogram 1	2	976.664846790	977.161600025	1017.857	26839.286	-68.86	0.4968	3164.062		2	0	0	0	0	0	0		
28	Spectrogram 1	2	1797.890712471	1798.562790378	803.571	28607.143	-28.22	0.6721	5742.188		1	2	1	1	0	0	0		
29	Spectrogram 1	2	1803.422018106	1804.045394715	642.857	29250.000	-27.06	0.6234	5976.562		1	2	1	1	0	0	0		
30	Spectrogram 1	2	1809.457633276	1810.071269626	750.000	29357.143	-29.00	0.6136	5859.375		1	2	1	1	0	0	0		
31	Spectrogram 1	2	2282.787388507	2282.991933957	4928.571	14839.286	-55.38	0.2045	11718.750		2	0	0	0	0	0	0		
32	Spectrogram 1	2	2288.016461380	2288.620357470	3910.714	15535.714	-56.55	0.6039	4570.312		1	0	0	0	0	0	0		
33	Spectrogram 1	2	2292.889644880	2293.376657856	4767.857	16071.429	-46.89	0.4870	4921.875		1	0	0	0	0	0	0		
34	Spectrogram 1	2	2296.756527907	2297.224060364	4714.286	18053.571	-47.06	0.4675	8789.062		1	0	0	0	0	0	0		
35	Spectrogram 1	2	2299.800286365	2300.618468164	589.286	29517.857	-28.40	0.8182	7148.438		1	2	1	1	0	0	0		
36	Spectrogram 1	2	2308.033130714	2308.812351475	535.714	29625.000	-26.99	0.7792	5742.188		1	2	1	1	0	0	0		
37	Spectrogram 1	2	2310.948376011	2311.620453917	642.857	29464.286	-39.15	0.6721	3632.812		2	0	0	0	0	0	0		Ask Nick
38	Spectrogram 1	2	2862.078612769	2862.769847251	7003.465	8894.012	-85.12	0.6912	7148.438		2	0	0	0	0	0	0		
39	Spectrogram 1	2	2901.739334070	2902.430568552	6903.962	8446.251	-91.88	0.6912	7148.438		2	0	0	0	0	0	0		
