Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Inband Power (dB FS)	Delta Time (s)	Peak Freq (Hz)	SNR	SQ	NLP	BP	DC	FJ	SH	SB	E-Clicks in frame	Notes
1	Spectrogram 1	2	1390.454828790	1390.752884025	4074.700	11001.700	-70.88	0.2981	9726.562		3	0	0	0	0	0	0		
2	Spectrogram 1	2	2174.139303194	2174.640289653	3005.100	7589.100	-56.87	0.5010	3398.438		2	0	0	0	0	0	0		
3	Spectrogram 1	2	2490.705969521	2491.200614380	713.100	30407.500	-35.35	0.4946	5390.625		2	2	1	1	0	0	0		Double check BP
4	Spectrogram 1	2	2493.447500515	2494.468498236	1629.900	21239.400	-52.89	1.0210	1640.625		3	1	1	0	0	0	0		Pulsed call is echolocation clicks spread too far to be DC?
5	Spectrogram 1	2	2495.242235698	2495.838346169	1069.600	26842.100	-32.99	0.5961	24726.562		2	1	0	1	0	0	0		
6	Spectrogram 1	2	2495.958836583	2496.155426207	1935.500	26893.000	-35.33	0.1966	21445.312		2	1	0	1	0	0	0		
7	Spectrogram 1	2	2529.189067479	2530.051525182	1273.300	18234.300	-52.21	0.8625	8320.312		3	1	1	0	0	0	0		
8	Spectrogram 1	2	2533.699978652	2534.232673116	713.100	28726.700	-33.47	0.5327	9492.188		2	1	0	1	0	0	0		
9	Spectrogram 1	2	2535.403056980	2535.980142649	764.000	27962.600	-41.44	0.5771	7148.438		2	1	0	1	0	0	0		Ask Nick abt whistle
10	Spectrogram 1	2	2552.712272806	2555.794290773	2088.300	22359.900	-66.69	3.0820	4101.562			0	0	0	0	0	0		Ask Nick
11	Spectrogram 1	2	603.350159172	603.889195236	18440.000	51286.251	-67.42	0.5390	30351.562		2	0	0	0	0	0	0		
12	Spectrogram 1	2	1518.111160225	1518.671683838	14262.188	83844.376	-57.55	0.5605	35625.000		2	0	0	0	0	0	0		higher frequency
13	Spectrogram 1	2	2081.182971807	2081.295076530	5449.915	8811.545	-67.47	0.1121	8085.938		2	0	0	0	0	0	0		
14	Spectrogram 1	2	2283.845301625	2283.939469592	2546.689	8607.810	-54.38	0.0942	3984.375		2	0	0	0	0	0	0		
15	Spectrogram 1	2	2284.692813327	2284.769044538	2954.160	9473.684	-55.17	0.0762	4218.750		2	0	0	0	0	0	0		
16	Spectrogram 1	2	2285.836281496	2285.912512707	3565.365	8556.876	-57.11	0.0762	3984.375		2	0	0	0	0	0	0		
17	Spectrogram 1	2	2287.705073370	2287.803725526	3259.762	19202.037	-54.64	0.0987	4335.938		2	0	0	0	0	0	0		
18	Spectrogram 1	2	2478.009478629	2478.197814563	4889.643	45840.407	-45.44	0.1883	42773.438		2	1	0	1	0	0	0		
19	Spectrogram 1	2	2491.244963147	2491.451235836	1120.543	44923.599	-49.81	0.2063	33867.188		2	1	0	1	0	0	0		
20	Spectrogram 1	2	2517.551674111	2517.654810456	17928.693	109202.037	-56.54	0.1031	107109.375		2	0	0	0	0	0	0		
21	Spectrogram 1	2	2518.964193614	2519.188403059	20373.514	118777.589	-36.31	0.2242	24609.375		1	1	0	1	0	0	0		
22	Spectrogram 1	2	2520.976500103	2521.263488192	20984.720	117555.178	-44.34	0.2870	82382.812		2	1	0	1	0	0	0		
23	Spectrogram 1	2	2522.592535449	2522.807776516	19966.044	119388.795	-49.70	0.2152	21562.500		2	1	0	1	0	0	0		
24	Spectrogram 1	2	2532.835054533	2533.238631533	1833.616	114295.416	-46.62	0.4036	9023.438		2	1	0	1	0	0	0		
25	Spectrogram 1	2	2551.000772522	2551.543359379	21392.190	119388.795	-47.35	0.5426	33750.000		2	1	0	1	0	0	0		
26	Spectrogram 1	2	2564.752574628	2565.291610692	18584.063	82691.876	-52.78	0.5390	39257.812		2	1	0	1	0	0	0		
