Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Inband Power (dB FS)	Delta Time (s)	Peak Freq (Hz)	SNR	SQ	NLP	BP	DC	FJ	SH	SB	E-Clicks in frame	Notes
1	Spectrogram 1	2	179.580890990	180.291150274	713.100	29643.500	-25.98	0.7103	8671.875		1	2	1	1	0	0	0		
2	Spectrogram 1	2	184.287427463	185.042077953	662.100	29592.500	-25.67	0.7547	4921.875		1	2	1	1	0	0	0		
3	Spectrogram 1	2	471.290889333	471.969440614	11409.200	14923.600	-58.43	0.6786	13242.188		3	0	0	0	0	0	0		
4	Spectrogram 1	2	477.695251196	478.413308999	8913.400	17266.600	-77.93	0.7181	15820.312		2	1	0	0	1	0	0		
5	Spectrogram 1	2	538.903237475	539.454956741	1069.600	29694.400	-42.02	0.5517	6679.688		2	1	0	1	0	0	0		
6	Spectrogram 1	2	539.537397551	540.139849622	1120.500	29592.500	-35.24	0.6025	6445.312		2	0	0	0	0	0	0		
7	Spectrogram 1	2	559.721097786	560.450381873	1273.300	29847.200	-43.09	0.7293	5742.188		2	1	0	1	0	0	0		
8	Spectrogram 1	2	560.353964674	560.931050342	9117.100	19915.100	-66.90	0.5771	10664.062		3	0	0	0	0	0	0		
9	Spectrogram 1	2	575.472408723	576.791461680	4991.500	16095.100	-47.35	1.3191	5859.375		2	0	0	0	0	0	0		
10	Spectrogram 1	2	577.526528328	578.889972491	9269.900	16095.100	-55.27	1.3634	9609.375		2	0	0	0	0	0	0		
11	Spectrogram 1	2	579.831115779	581.238951146	7079.800	15993.200	-53.51	1.4078	8906.250		2	0	0	0	0	0	0		
12	Spectrogram 1	2	582.129406698	583.385043648	7334.500	15891.300	-55.00	1.2556	8906.250		3	0	0	0	0	0	0		
13	Spectrogram 1	2	584.841087615	585.380123679	8862.500	15942.300	-56.43	0.5390	9023.438		2	0	0	0	0	0	0		
14	Spectrogram 1	2	585.554543085	585.896989526	5551.800	6927.000	-50.17	0.3424	5859.375		2	0	0	0	0	0	0		
15	Spectrogram 1	2	585.854574887	586.647274982	7996.600	13242.800	-56.60	0.7927	8789.062		3	0	0	0	0	0	0		
16	Spectrogram 1	2	588.213650368	589.399529709	6519.500	10645.200	-53.68	1.1859	7265.625		2	0	0	0	0	0	0		
17	Spectrogram 1	2	589.963706277	590.540791946	8862.500	19303.900	-57.61	0.5771	9257.812		2	0	0	0	0	0	0		
18	Spectrogram 1	2	592.172830876	592.965530971	8353.100	23633.300	-52.72	0.7927	9140.625		3	0	0	0	0	0	0		
19	Spectrogram 1	2	593.307977411	594.132385510	6876.100	22410.900	-52.12	0.8244	7265.625		3	0	0	0	0	0	0		
20	Spectrogram 1	2	593.320660613	594.138727110	6417.700	12784.400	-52.94	0.8181	7265.625		2	0	0	0	0	0	0		
21	Spectrogram 1	2	593.327002214	594.493856753	7130.700	16146.000	-53.85	1.1669	7265.625		3	0	0	0	0	0	0		
22	Spectrogram 1	2	596.170060989	596.873978673	8404.100	22461.800	-52.33	0.7039	10078.125		3	0	0	0	0	0	0		
23	Spectrogram 1	2	597.013493889	598.839874907	7130.700	11001.700	-55.71	1.8264	7265.625		2	1	0	0	1	0	0		
24	Spectrogram 1	2	597.432039539	598.839874907	9168.100	16400.700	-55.32	1.4078	10195.312		2	0	0	0	0	0	0		
25	Spectrogram 1	2	597.038860292	597.444722741	11918.500	16400.700	-58.86	0.4059	12304.688		2	0	0	0	0	0	0		
26	Spectrogram 1	2	599.526111747	600.242712632	7334.500	15891.300	-52.63	0.7166	10195.312		2	0	0	0	0	0	0		
27	Spectrogram 1	2	601.734959676	603.497924686	6825.100	11103.600	-55.01	1.7630	9492.188		3	1	0	0	1	0	0		
28	Spectrogram 1	2	608.062759151	608.481304801	1528.000	29745.300	-36.56	0.4185	8906.250		2	1	0	1	0	0	0		
29	Spectrogram 1	2	610.650533268	611.278351743	1731.700	29388.800	-38.63	0.6278	1875.000		2	2	1	1	0	0	0		
30	Spectrogram 1	2	613.096256563	613.546510217	1426.100	29083.200	-39.44	0.4503	8203.125		2	2	1	1	0	0	0		
31	Spectrogram 1	2	615.313631460	615.833642722	1629.900	29083.200	-39.52	0.5200	1757.812		2	2	1	1	0	0	0		
32	Spectrogram 1	2	685.879973907	686.463401176	509.300	29439.700	-30.54	0.5834	6093.750		1	2	1	1	0	0	0		
33	Spectrogram 1	2	688.797110254	689.424928729	509.300	29796.300	-29.76	0.6278	5273.438		1	2	1	1	0	0	0		
34	Spectrogram 1	2	909.740030764	910.374190840	814.900	29490.700	-25.77	0.6342	8554.688		1	2	1	1	0	0	0		
35	Spectrogram 1	2	912.173403997	912.807564073	865.900	29643.500	-24.99	0.6342	5625.000		1	2	1	1	0	0	0		This call and the previous following conspecific call of same type
36	Spectrogram 1	2	915.808835427	916.436653902	713.100	29745.300	-24.77	0.6278	5976.562		1	2	1	1	0	0	0		
37	Spectrogram 1	2	917.964087505	918.585564379	814.900	29592.500	-24.85	0.6215	5859.375		1	2	1	1	0	0	0		
38	Spectrogram 1	2	920.081278578	920.690072251	764.000	29796.300	-25.50	0.6088	5156.250		1	2	1	1	0	0	0		
39	Spectrogram 1	2	924.506258988	925.102369459	814.900	29745.300	-27.02	0.5961	6093.750		1	2	1	1	0	0	0		
40	Spectrogram 1	2	977.368420082	978.053312964	560.300	29541.600	-28.10	0.6849	13828.125		1	2	1	1	0	0	0		
41	Spectrogram 1	2	979.645054754	980.279214829	814.900	29643.500	-26.36	0.6342	5039.062		1	2	1	1	0	0	0		
42	Spectrogram 1	2	1141.738885577	1142.398412055	8556.900	20984.700	-80.90	0.6595	15585.938		3	0	0	0	0	0	0		poor quality but break in click train
43	Spectrogram 1	2	1222.561409281	1223.658506212	8862.500	23480.500	-75.84	1.0971	8906.250		3	1	0	0	0	0	1		
44	Spectrogram 1	2	1243.682373240	1244.291166913	9066.200	13599.300	-69.23	0.6088	9140.625		3	1	0	0	0	0	1		
45	Spectrogram 1	2	1251.762752830	1252.802775354	8811.500	21290.300	-69.58	1.0400	9140.625		2	0	0	0	0	0	0		
46	Spectrogram 1	2	1255.042038099	1256.284991847	10848.900	19100.200	-86.05	1.2430	13945.312		3	0	0	0	0	0	0		
47	Spectrogram 1	2	1263.732843390	1265.299218776	12529.700	19303.900	-81.25	1.5664	15351.562		2	0	0	0	0	0	0		
48	Spectrogram 1	2	1322.228818463	1322.679072116	3972.800	16095.100	-56.38	0.4503	12187.500		2	0	0	0	0	0	0		
49	Spectrogram 1	2	1439.398665557	1440.223073655	11511.000	23735.100	-69.75	0.8244	20507.812			0	0	0	0	0	0		This doesn't like grampy to me
50	Spectrogram 1	2	1553.318246541	1554.833889121	916.800	29236.000	-58.92	1.5156	937.500		3	0	0	0	0	0	0		Crap quality but sounds legit
51	Spectrogram 1	2	1694.565021472	1695.129423939	662.100	29694.400	-54.52	0.5644	2226.562		2	1	0	1	0	0	0		Sounds like animal is moving fast. Many click trains
52	Spectrogram 1	2	1807.068522490	1808.457333055	1324.300	28573.900	-45.02	1.3888	6093.750		2	1	0	1	0	0	0		
53	Spectrogram 1	2	2306.692195288	2307.237572953	916.800	29388.800	-38.64	0.5454	2343.750		2	1	0	1	0	0	0		
54	Spectrogram 1	2	2307.275622558	2307.738559413	1120.500	29439.700	-34.44	0.4629	6445.312		2	0	0	0	0	0	0		
55	Spectrogram 1	2	2313.777909308	2314.450118988	1477.100	29745.300	-36.25	0.6722	2695.312		2	1	0	1	0	0	0		
56	Spectrogram 1	2	2316.726753659	2317.284814526	1324.300	29439.700	-36.81	0.5581	6562.500		2	1	0	1	0	0	0		
57	Spectrogram 1	2	2325.637657049	2329.271394282	814.900	29592.500	-38.88	3.6337	3281.250		1	1	0	1	0	0	0		
58	Spectrogram 1	2	2348.549758997	2349.266359882	1324.300	29541.600	-41.61	0.7166	5976.562		2	1	0	1	0	0	0		
