Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Inband Power (dB FS)	Delta Time (s)	Peak Freq (Hz)	SNR	SQ	NLP	BP	DC	FJ	SH	SB	E-Clicks in frame	Notes
46	Spectrogram 1	2	1054.664797180	1055.046392649	15789.474	18641.766	-79.68	0.3816	17695.312	8.3		0	0	0	0	0	0		
47	Spectrogram 1	2	1066.503367265	1066.913229064	865.874	7589.134	-57.31	0.4099	3398.438	6.0		0	0	0	0	0	0		
48	Spectrogram 1	2	1074.334333620	1075.005658982	662.139	20628.183	-46.92	0.6713	1523.438	10.6		1	0	1	0	0	0		
49	Spectrogram 1	2	1106.779980486	1106.977844803	560.272	3616.299	-61.75	0.1979	585.938	7.7		0	0	0	0	0	0		
50	Spectrogram 1	2	1143.756381087	1144.936500406	865.874	21188.455	-51.42	1.1801	3398.438	19.9		0	0	0	0	0	0		
51	Spectrogram 1	2	1148.713059685	1150.670503107	662.139	22156.197	-54.14	1.9574	3515.625	10.6		0	0	0	0	0	0		
52	Spectrogram 1	2	1275.530795937	1275.968924068	12682.513	14872.666	-77.72	0.4381	13007.812	15.3		1	0	0	1	0	0		
53	Spectrogram 1	2	1285.027140709	1286.171927114	14516.129	18896.435	-79.04	1.1448	14765.625	15.3		0	0	0	0	0	0		
54	Spectrogram 1	2	1381.710876998	1382.050072970	662.139	2648.557	-57.52	0.3392	703.125	10.2		0	0	0	0	0	0		
55	Spectrogram 1	2	2410.278310087	2410.737637966	562.181	16354.344	-59.03	0.4593	6796.875	15.7		1	0	1	0	0	0		
56	Spectrogram 1	2	2415.364515163	2415.781443545	817.717	17989.779	-62.54	0.4169	6093.750	9.8		1	0	1	0	0	0		
57	Spectrogram 1	2	2610.120906487	2610.509568538	766.610	22998.296	-56.06	0.3887	9726.562	22.9		1	1	0	0	0	0		Double Check
58	Spectrogram 1	2	2687.000169438	2688.554817643	8330.494	20698.467	-75.35	1.5546	10195.312	9.9		0	0	0	0	0	0		
59	Spectrogram 1	2	71.758247129	72.333117749	9859.089	84367.941	-37.59	0.5749	60000.000	1		1	0	1	0	0	0		
60	Spectrogram 1	2	81.956009029	82.414450157	12768.328	84529.565	-35.81	0.4584	35976.562	1		1	0	1	0	0	0		
61	Spectrogram 1	2	120.302885754	123.380990469	16808.938	84529.565	-47.93	3.0781	30820.312	1		1	0	1	0	0	0		
