Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Inband Power (dB FS)	Delta Time (s)	Peak Freq (Hz)	SNR	SQ	NLP	BP	DC	FJ	SH	SB	E-Clicks in frame	Notes
1	Spectrogram 1	2	152.084021425	152.565983083	1935.500	56842.100	-69.11	0.4820	10898.438		2	1	0	1	0	0	0		
2	Spectrogram 1	2	174.963523190	175.724515281	7843.800	16502.500	-82.33	0.7610	12656.250		2	0	0	0	0	0	0		
3	Spectrogram 1	2	280.631224694	281.455632792	1426.100	59185.100	-56.53	0.8244	3515.625		2	2	1	1	0	0	0		
4	Spectrogram 1	2	286.857219717	287.643578211	1018.700	59592.500	-59.31	0.7864	20625.000		3	2	1	1	0	0	0		
5	Spectrogram 1	2	293.933102182	294.732143877	916.800	58268.300	-59.81	0.7990	16875.000		2	2	1	1	0	0	0		
6	Spectrogram 1	2	453.987399599	454.799124495	1120.500	58064.500	-58.04	0.8117	18632.812		2	2	1	1	0	0	0		
7	Spectrogram 1	2	651.459812755	652.430077671	4991.500	12427.800	-89.38	0.9703	7265.625		3	0	0	0	0	0	0		Weird, repeated
8	Spectrogram 1	2	653.070579347	654.009136259	4278.400	11409.200	-88.33	0.9386	6210.938		3	0	0	0	0	0	0		
9	Spectrogram 1	2	654.530830318	655.139623991	6825.100	11001.700	-89.96	0.6088	10781.250		3	0	0	0	0	0	0		
10	Spectrogram 1	2	655.754759264	656.484043351	5602.700	11103.600	-89.85	0.7293	7617.188		3	0	0	0	0	0	0		
11	Spectrogram 1	2	656.888059272	657.604660157	6519.500	13140.900	-89.78	0.7166	10664.062		3	0	0	0	0	0	0		
12	Spectrogram 1	2	658.035889008	658.549558670	7232.600	11307.300	-91.13	0.5137	8085.938		3	0	0	0	0	0	0		
13	Spectrogram 1	2	660.656664317	661.284482792	6417.700	11409.200	-91.94	0.6278	8085.938		3	0	0	0	0	0	0		
14	Spectrogram 1	2	661.741078046	662.432312529	6519.500	11714.800	-90.25	0.6912	7617.188		3	0	0	0	0	0	0		
15	Spectrogram 1	2	662.952323791	663.757707087	6112.100	10798.000	-91.61	0.8054	7851.562		3	0	0	0	0	0	0		
16	Spectrogram 1	2	664.239668744	664.823096013	6213.900	10696.100	-92.09	0.5834	6914.062		3	0	0	0	0	0	0		
17	Spectrogram 1	2	665.292374469	665.799702530	6723.300	11001.700	-87.21	0.5073	9843.750		3	0	0	0	0	0	0		
18	Spectrogram 1	2	667.460586915	668.005964580	6621.400	11103.600	-91.84	0.5454	7617.188		3	0	0	0	0	0	0		
19	Spectrogram 1	2	672.367530406	672.779734455	5602.700	10798.000	-90.80	0.4122	6210.938		3	0	0	0	0	0	0		
20	Spectrogram 1	2	1476.990913149	1477.606048423	7843.800	15382.000	-83.63	0.6151	8320.312		2	0	0	0	0	0	0		
21	Spectrogram 1	2	2113.764918259	2115.026896810	5297.100	18030.600	-85.53	1.2620	7734.375		2	0	0	0	0	0	0		
22	Spectrogram 1	2	2115.844963307	2117.455729899	10492.400	29541.600	-88.27	1.6108	12421.875		2	0	0	0	0	0	0		
23	Spectrogram 1	2	2118.151849064	2118.824058744	8658.700	20781.000	-90.19	0.6722	8906.250		2	0	0	0	0	0	0		
24	Spectrogram 1	2	2108.340050679	2108.866403541	6417.700	10288.600	-91.41	0.5264	9023.438		2	0	0	0	0	0	0		
25	Spectrogram 1	2	3175.676757283	3176.063594929	7640.100	12937.200	-87.94	0.3868	7851.562		2	0	0	0	0	0	0		
26	Spectrogram 1	2	3272.523397398	3273.128762899	5978.600	12029.200	-87.54	0.6054	11484.375		3	0	0	0	0	0	0		
27	Spectrogram 1	2	3275.030058992	3275.411215048	5906.600	11236.900	-89.57	0.3812	9726.562		3	0	0	0	0	0	0		
28	Spectrogram 1	2	3337.019447393	3337.696559916	648.300	40985.800	-56.11	0.6771	15703.125		2	2	1	1	0	0	0		
29	Spectrogram 1	2	3342.047687424	3342.742736703	720.300	41418.000	-51.57	0.6950	3164.062		2	2	1	1	0	0	0		
