Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Inband Power (dB FS)	Delta Time (s)	Peak Freq (Hz)	SNR	NLP	BP	DC	FJ	SH	SB	E-Clicks in frame
1	Spectrogram 1	2	967.595365786	968.034310862	4525.500	23354.700	-80.15	0.4389	11250.000	10.6	0	0	0	0	0	0	
2	Spectrogram 1	2	1567.362374062	1567.598103825	2747.600	28526.700	-60.11	0.2357	4687.500	28.9	1	0	0	0	1	0	
3	Spectrogram 1	2	2601.176565693	2601.233465980	2990.100	28607.500	-53.52	0.0569	5156.250	31.5	0	0	0	0	0	0	
4	Spectrogram 1	2	2605.570515094	2605.627415382	2990.100	24001.200	-59.34	0.0569	3750.000	25.9	0	0	0	0	0	0	
5	Spectrogram 1	2	2608.467819836	2608.540977349	2990.100	26506.400	-54.38	0.0732	5156.250	30.8	0	0	0	0	0	0	
6	Spectrogram 1	2	2596.637845182	2596.686616857	4444.700	20526.300	-71.82	0.0488	6093.750	13	0	0	0	0	0	0	
7	Spectrogram 1	2	2611.838135455	2611.927550193	3070.900	22789.000	-56.55	0.0894	4687.500	31	0	0	0	0	0	0	
8	Spectrogram 1	2	2619.658256824	2619.723285724	2990.100	17455.400	-57.32	0.0650	4687.500		0	0	0	0	0	0	
9	Spectrogram 1	2	2918.649024787	2920.252660161	7030.662	11071.272	-86.51	1.6036	9375.000	9.7	0	0	0	0	0	0	
