Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	Peak Freq (Hz)	NLP	SNR	SQ	Notes
1	Spectrogram 1	2	0.722942486	0.830749699	720.300	11453.000	0.1078	-71.51	1757.812	No		2	
2	Spectrogram 1	2	0.881482505	1.160512938	648.300	13037.700	0.2790	-71.12	1875.000	No		2	
3	Spectrogram 1	2	1.217587345	1.414176968	864.400	22257.700	0.1966	-69.37	1992.188	No		2	
4	Spectrogram 1	2	1.490276177	1.959554633	648.300	8139.500	0.4693	-71.34	703.125	No		2	
5	Spectrogram 1	2	375.951043337	376.166284404	3208.800	21748.700	0.2152	-75.10	3515.625	No		2	
6	Spectrogram 1	2	472.620669280	472.782100080	3241.400	13830.000	0.1614	-68.48	3515.625	No		2	
7	Spectrogram 1	2	473.405402337	473.548896382	4249.800	15126.600	0.1435	-78.97	9023.438	No		2	
8	Spectrogram 1	2	493.541777922	493.734598045	2809.200	12533.400	0.1928	-77.34	3281.250	No		2	
9	Spectrogram 1	2	496.940606067	497.545971569	16279.100	81683.400	0.6054	-64.62	29648.438	No		2	Higher frequency
10	Spectrogram 1	2	503.047797076	503.263038143	2139.200	17623.100	0.2152	-63.56	2695.312	No		2	Funny lookin
11	Spectrogram 1	2	516.615280868	516.866395446	1018.700	47775.900	0.2511	-64.41	1289.062	No		2	
12	Spectrogram 1	2	519.822754543	520.607487600	1120.500	51545.000	0.7847	-62.65	11367.188	Yes - BP, DC		3	
13	Spectrogram 1	2	587.547143474	587.739963596	15280.100	59083.200	0.1928	-63.54	39609.375	No		2	Higher frequency
14	Spectrogram 1	2	601.264918779	601.439802146	17317.500	58268.300	0.1749	-69.25	27187.500	No		2	Higher frequency
15	Spectrogram 1	2	634.548922257	634.678963735	19160.300	64972.200	0.1300	-52.63	38203.125	No		2	
16	Spectrogram 1	2	680.474113612	680.666933735	19354.800	59083.200	0.1928	-61.81	39257.812	No		2	
17	Spectrogram 1	2	721.088940328	721.192076673	17928.700	59083.200	0.1031	-68.58	28593.750	No		2	
18	Spectrogram 1	2	868.474245614	868.667065737	2852.300	20169.800	0.1928	-69.10	3164.062	No		2	
19	Spectrogram 1	2	950.917392496	951.482400297	1324.300	33820.000	0.5650	-64.33	9140.625	No		2	
20	Spectrogram 1	2	952.520806535	953.103751092	1426.100	40848.900	0.5829	-66.74	3984.375	No		2	
21	Spectrogram 1	2	954.650237896	955.309413664	1528.000	36468.600	0.6592	-71.56	4804.688	No		2	
22	Spectrogram 1	2	956.809144195	957.522130230	1222.400	36366.700	0.7130	-67.57	2695.312	No		2	
23	Spectrogram 1	2	958.858418522	959.540015234	1222.400	41358.200	0.6816	-69.03	1406.250	No		3	
24	Spectrogram 1	2	971.030341417	971.478760307	1222.400	21188.500	0.4484	-74.58	1289.062	No		3	
25	Spectrogram 1	2	972.644649420	973.205173032	1731.700	24550.100	0.5605	-74.51	2695.312	No		3	
26	Spectrogram 1	2	973.825904107	974.476111497	1324.300	30764.000	0.6502	-70.92	2812.500	No		3	
27	Spectrogram 1	2	977.123707156	977.760461980	2139.200	26180.000	0.6368	-75.03	2460.938	No		3	
28	Spectrogram 1	2	985.564862292	986.188164549	2139.200	52869.300	0.6233	-68.41	16523.438	Yes - BP, DC		2	
29	Spectrogram 1	2	988.717247087	989.309160022	1629.900	56332.800	0.5919	-67.83	8906.250	Yes - BP, DC		2	
30	Spectrogram 1	2	991.248326098	991.907501866	1935.500	57962.600	0.6592	-62.25	7265.625	Yes - BP, DC		2	
31	Spectrogram 1	2	995.064459504	995.898518639	2852.300	55416.000	0.8341	-64.68	13007.812	Yes - BP, DC		2	
32	Spectrogram 1	2	997.368964096	998.126792020	1629.900	57249.600	0.7578	-63.53	7617.188	Yes - BP, DC		2	
33	Spectrogram 1	2	999.176092222	1000.019119734	1731.700	53989.800	0.8430	-59.82	7734.375	Yes - BP, DC		2	
34	Spectrogram 1	2	1008.491852657	1009.182417747	1731.700	47877.800	0.6906	-67.67	1875.000	Yes - BP, DC		2	
35	Spectrogram 1	2	1017.628425598	1018.345895821	1528.000	58064.500	0.7175	-61.11	7031.250	Yes - BP, DC		2	
36	Spectrogram 1	2	1020.278216936	1021.067434182	1731.700	56536.500	0.7892	-62.11	7265.625	Yes - BP, DC		2	
37	Spectrogram 1	2	1022.264988312	1022.973490157	2139.200	56230.900	0.7085	-56.65	21445.312	Yes - BP, DC		2	
38	Spectrogram 1	2	1023.049721369	1023.152857713	2954.200	18845.500	0.1031	-69.82	3164.062	No		2	
39	Spectrogram 1	2	1024.314262638	1025.309752573	1935.500	57045.800	0.9955	-59.82	7500.000	Yes - BP, DC		2	
40	Spectrogram 1	2	1033.417977803	1034.364141660	1528.000	47572.200	0.9462	-66.01	6914.062	Yes - BP, DC		2	
41	Spectrogram 1	2	1036.054680875	1036.911160954	1324.300	52869.300	0.8565	-59.67	6796.875	Yes - BP, DC		2	
42	Spectrogram 1	2	1043.057882629	1044.026467431	1120.500	53989.800	0.9686	-58.86	12304.688	Yes - BP, DC		2	
43	Spectrogram 1	2	1068.082668333	1068.867401390	1324.300	53786.100	0.7847	-56.15	13476.562	Yes - BP, DC		2	
44	Spectrogram 1	2	1073.033113067	1073.840267068	2037.400	50730.100	0.8072	-55.24	3398.438	Yes - BP, DC		3	
45	Spectrogram 1	2	1076.125365050	1076.968392563	1222.400	58064.500	0.8430	-48.71	5625.000	Yes - BP, DC		2	
46	Spectrogram 1	2	1088.340565749	1089.439192029	2037.400	15789.500	1.0986	-66.81	2226.562	No		3	
47	Spectrogram 1	2	1090.319011542	1090.982671499	1324.300	43395.600	0.6637	-58.68	13476.562	Yes - BP, DC		2	
48	Spectrogram 1	2	1093.089145955	1093.968046979	916.800	52869.300	0.8789	-52.02	5390.625	Yes - BP, DC		2	
49	Spectrogram 1	2	1091.645237130	1092.403065053	713.100	5297.100	0.7578	-79.09	2226.562	Yes - DC		3	
50	Spectrogram 1	2	1095.462363629	1096.224675741	611.200	58981.300	0.7623	-48.56	15117.188	Yes - BP, DC		2	
51	Spectrogram 1	2	1097.228685324	1098.040323515	407.500	59286.900	0.8116	-48.21	7968.750	Yes - BP, DC		2	
52	Spectrogram 1	2	1099.082382683	1099.813305473	611.200	58981.300	0.7309	-52.50	16992.188	Yes - BP, DC		2	
53	Spectrogram 1	2	1101.890676316	1102.715767073	916.800	58064.500	0.8251	-56.82	12656.250	Yes - BP, DC		2	
54	Spectrogram 1	2	1103.192840846	1103.905826880	713.100	53480.500	0.7130	-69.84	1640.625	Yes - DC		3	
55	Spectrogram 1	2	1108.092406618	1108.971307642	1426.100	58573.900	0.8789	-44.15	9609.375	Yes - BP, DC		1	
56	Spectrogram 1	2	1111.061474253	1111.944859465	1120.500	59490.700	0.8834	-45.95	15703.125	Yes - BP, DC		1	
57	Spectrogram 1	2	1112.895507512	1113.675756380	1120.500	58573.900	0.7802	-49.74	4921.875	Yes - BP, DC			
58	Spectrogram 1	2	1114.751698649	1115.733736017	1120.500	58981.300	0.9820	-53.57	4921.875	Yes - BP, DC		1	
59	Spectrogram 1	2	1120.291869040	1121.125928175	509.300	56332.800	0.8341	-55.26	18632.812	Yes - DC		2	
60	Spectrogram 1	2	1126.793383200	1127.847167591	1222.400	58166.400	1.0538	-54.54	20742.188	Yes - BP, DC		2	
61	Spectrogram 1	2	1129.109050447	1130.149382272	1120.500	58370.100	1.0403	-56.75	22851.562	Yes - BP, DC		2	
62	Spectrogram 1	2	1131.476242252	1132.467247999	916.800	56842.100	0.9910	-58.15	5507.812	Yes - BP, DC		2	
63	Spectrogram 1	2	1134.241159650	1135.106608107	1120.500	58370.100	0.8654	-60.39	18867.188	Yes - DC		2	Tonal barely visible - BP questionable
