Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	Peak Freq (Hz)	NLP	SNR	SQ	Notes
64	Spectrogram 1	2	1136.169633769	1137.106829249	1222.400	58675.700	0.9372	-58.82	17812.500	Yes - BP, DC		2	
65	Spectrogram 1	2	1138.230522306	1139.257401564	814.900	57045.800	1.0269	-59.81	17695.312	Yes - BP, DC		2	
66	Spectrogram 1	2	1140.576857253	1141.540957866	1120.500	51646.900	0.9641	-56.68	5742.188	Yes - BP, DC		2	
67	Spectrogram 1	2	1143.588393836	1144.364158516	916.800	59490.700	0.7758	-57.38	20507.812	Yes - BP, DC		2	
68	Spectrogram 1	2	1146.579806388	1147.391444578	1120.500	57657.000	0.8116	-57.12	16875.000	Yes - BP, DC		2	
69	Spectrogram 1	2	1149.520974372	1150.305707429	1222.400	58981.300	0.7847	-58.92	16992.188	Yes - BP, DC		2	
70	Spectrogram 1	2	1152.018194087	1152.829832278	916.800	59592.500	0.8116	-54.11	18867.188	Yes - BP, DC		2	
71	Spectrogram 1	2	1152.892610922	1153.009199834	1426.100	26078.100	0.1166	-74.57	3398.438	No		3	
72	Spectrogram 1	2	1154.337616898	1155.144770900	814.900	59388.800	0.8072	-57.40	20507.812	Yes - BP, DC		2	
73	Spectrogram 1	2	1155.198581167	1155.337591023	3667.200	21188.500	0.1390	-75.30	5742.188	No		3	
74	Spectrogram 1	2	1156.326764015	1157.133918016	509.300	59388.800	0.8072	-55.28	18632.812	Yes - BP, DC		2	
75	Spectrogram 1	2	1157.196696661	1157.335706517	3157.900	23735.100	0.1390	-71.48	3398.438	No		3	
76	Spectrogram 1	2	1158.270886380	1159.293281448	1120.500	58268.300	1.0224	-55.05	40664.062	Yes - BP, DC		2	
77	Spectrogram 1	2	1160.449103657	1161.502888047	1222.400	59083.200	1.0538	-57.34	20039.062	Yes - BP, DC		2	
78	Spectrogram 1	2	1162.571130725	1163.647336060	1018.700	59083.200	1.0762	-55.18	3046.875	Yes - BP, DC		2	
79	Spectrogram 1	2	1164.485879384	1165.517242831	1018.700	59694.400	1.0314	-54.18	9960.938	Yes - BP, DC		2	
80	Spectrogram 1	2	1166.545400702	1167.540890637	1018.700	58472.000	0.9955	-54.60	5507.812	Yes - BP, DC		2	
81	Spectrogram 1	2	1169.097359941	1169.994197720	713.100	58981.300	0.8968	-61.41	42421.875	Yes - BP, DC		2	
82	Spectrogram 1	2	1171.368008038	1172.327624462	814.900	58675.700	0.9596	-64.08	3046.875	Yes - BP, DC		2	
83	Spectrogram 1	2	1174.180870290	1175.041834558	1018.700	59185.100	0.8610	-59.59	5039.062	Yes - BP, DC		2	
84	Spectrogram 1	2	1175.485769259	1176.037324493	814.900	59490.700	0.5516	-64.77	1406.250	No		2	
85	Spectrogram 1	2	1176.647449878	1177.468056446	814.900	59490.700	0.8206	-56.34	6328.125	Yes - BP, DC		2	
86	Spectrogram 1	2	1180.934970282	1181.760061039	814.900	59286.900	0.8251	-69.85	1406.250	No		3	
87	Spectrogram 1	2	1182.875341284	1183.830473519	1018.700	58064.500	0.9551	-59.10	20156.250	Yes - BP, DC		2	
88	Spectrogram 1	2	1183.848410275	1184.014325264	1528.000	28930.400	0.1659	-69.42	3750.000	No		3	
89	Spectrogram 1	2	1184.162303498	1184.956004933	1324.300	50118.800	0.7937	-64.71	41132.812	Yes - BP, DC		3	
90	Spectrogram 1	2	1187.077574869	1188.647040983	1018.700	57351.400	1.5695	-58.78	8671.875	Yes - BP, DC		2	Weird BP, 3 calls or 1?
91	Spectrogram 1	2	1189.429121229	1190.204885909	713.100	59388.800	0.7758	-72.06	2578.125	No		3	
92	Spectrogram 1	2	1190.799357446	1192.346402616	1120.500	58981.300	1.5470	-58.90	13007.812	Yes - BP, DC		2	
93	Spectrogram 1	2	1195.443417283	1196.479264919	1629.900	54804.800	1.0358	-59.69	4453.125	Yes - BP, DC		2	
94	Spectrogram 1	2	1198.970646793	1200.091694017	1324.300	58573.900	1.1210	-62.28	5625.000	Yes - BP, DC		2	
95	Spectrogram 1	2	1202.153315381	1203.269878417	1222.400	56842.100	1.1166	-61.70	32226.562	Yes - BP, DC		2	
96	Spectrogram 1	2	1207.390939469	1208.552344394	1120.500	57045.800	1.1614	-56.23	6093.750	Yes - BP, DC		2	
97	Spectrogram 1	2	1209.832169608	1210.249199175	1426.100	57555.200	0.4170	-59.37	4453.125	Yes - BP, DC		2	
98	Spectrogram 1	2	1210.267135931	1210.684165498	1120.500	39524.600	0.4170	-65.38	29296.875	No		3	
99	Spectrogram 1	2	1210.706586443	1211.011511288	1120.500	42376.900	0.3049	-66.38	9140.625	No		2	
100	Spectrogram 1	2	1211.083258310	1211.298499377	1833.600	46859.100	0.2152	-63.60	9140.625	Yes - BP, DC		2	
101	Spectrogram 1	2	1211.857824628	1212.611168363	814.900	57249.600	0.7533	-57.71	4921.875	Yes - BP, DC, SH?		2	Ask abt SH
102	Spectrogram 1	2	1213.994129922	1214.769894601	916.800	56638.400	0.7758	-63.19	38789.062	Yes - BP, DC		2	
103	Spectrogram 1	2	1215.653279814	1216.420076115	1324.300	58573.900	0.7668	-61.22	42421.875	Yes - BP, DC		2	
104	Spectrogram 1	2	1218.232327049	1219.411668729	1120.500	54906.600	1.1793	-61.65	1757.812	Yes - BP, DC, SH?		2	SH?
105	Spectrogram 1	2	1221.589058947	1222.678716849	916.800	58573.900	1.0897	-59.57	8789.062	Yes - BP, DC		2	This is weird
106	Spectrogram 1	2	1223.289665091	1224.415196504	1120.500	54906.600	1.1255	-57.43	13125.000	Yes - BP, DC		2	
107	Spectrogram 1	2	1225.267192395	1226.392723808	1120.500	57045.800	1.1255	-61.82	3515.625	Yes - BP, DC		2	
108	Spectrogram 1	2	1228.583112262	1229.179509385	4176.600	19762.300	0.5964	-75.77	4453.125	No		2	
109	Spectrogram 1	2	1229.349908563	1229.834200964	611.200	51850.600	0.4843	-52.83	5039.062	Yes - DC		1	
110	Spectrogram 1	2	1229.936144549	1230.124480483	1426.100	22207.100	0.1883	-70.75	1992.188	Yes - SH?		3	Ask
111	Spectrogram 1	2	1231.438446263	1232.191789998	1120.500	55721.600	0.7533	-59.71	9257.812	Yes - BP?, DC		1	Ask
112	Spectrogram 1	2	1234.568770237	1234.981315616	1018.700	56842.100	0.4125	-58.11	11367.188	Yes - DC		1	
113	Spectrogram 1	2	1235.070999394	1235.295208839	4278.400	27606.100	0.2242	-70.20	6562.500	No		3	
114	Spectrogram 1	2	1237.398019162	1237.841953863	916.800	57555.200	0.4439	-57.37	2929.688	Yes - DC		2	
115	Spectrogram 1	2	1237.913700885	1238.097552630	1324.300	25263.200	0.1839	-63.26	21445.312	No		3	
116	Spectrogram 1	2	1240.436460879	1241.180836236	814.900	58675.700	0.7444	-62.23	40312.500	Yes - BP, DC		2	
117	Spectrogram 1	2	1243.089546447	1243.757690593	1120.500	55008.500	0.6681	-56.56	34218.750	Yes - BP, DC		2	
118	Spectrogram 1	2	1246.819111620	1247.559002789	1222.400	59490.700	0.7399	-57.64	7851.562	Yes - BP, DC		2	
119	Spectrogram 1	2	1249.648360545	1250.226820913	1120.500	59388.800	0.5785	-60.11	7148.438	Yes - BP, DC		2	
120	Spectrogram 1	2	1250.307536313	1250.504840625	1324.300	22920.200	0.1973	-70.24	3632.812	No		3	
121	Spectrogram 1	2	1252.398994116	1253.152337851	814.900	58777.600	0.7533	-63.12	1992.188	Yes - BP, DC, SB		2	
122	Spectrogram 1	2	1255.296971527	1255.987536617	1120.500	59083.200	0.6906	-55.83	11484.375	Yes - BP, DC		2	
123	Spectrogram 1	2	1259.682321230	1260.229392275	1222.400	50628.200	0.5471	-53.95	1757.812	Yes - BP, DC		3	
124	Spectrogram 1	2	1261.469674244	1261.994324345	1222.400	59490.700	0.5247	-40.68	14179.688	Yes - BP		2	Ask abt DC
125	Spectrogram 1	2	1263.574497383	1264.422009085	1426.100	59388.800	0.8475	-43.92	15351.562	Yes - BP, DC		1	
126	Spectrogram 1	2	1265.893915994	1266.624838784	814.900	59083.200	0.7309	-50.59	3398.438	Yes - BP, DC		2	
127	Spectrogram 1	2	1270.783791765	1271.519198744	1222.400	59286.900	0.7354	-52.78	10898.438	Yes - BP, DC		2	
128	Spectrogram 1	2	1277.918495049	1278.725649050	1222.400	58675.700	0.8072	-50.89	3984.375	Yes - BP, DC		1	
129	Spectrogram 1	2	1286.971884017	1287.783522208	1324.300	59286.900	0.8116	-54.92	5273.438	Yes - BP, DC		2	
130	Spectrogram 1	2	1288.496508243	1289.366440889	814.900	57657.000	0.8699	-49.55	3984.375	Yes - BP, DC		2	
131	Spectrogram 1	2	1290.130031615	1290.367693626	17215.600	59286.900	0.2377	-59.04	34570.312	Yes - DC		2	
132	Spectrogram 1	2	1290.188326071	1290.493250916	3565.400	15585.700	0.3049	-73.76	7968.750	No		3	
133	Spectrogram 1	2	1290.502219293	1291.125521550	15178.300	58573.900	0.6233	-65.68	21562.500	Yes - DC		2	
134	Spectrogram 1	2	1297.745090274	1298.538791709	1629.900	58675.700	0.7937	-53.64	29648.438	Yes - BP, DC		2	
135	Spectrogram 1	2	1307.747125676	1308.536342922	1222.400	58573.900	0.7892	-59.37	19218.750	Yes - BP, DC		2	
136	Spectrogram 1	2	1309.821379549	1310.601628418	1120.500	58879.500	0.7802	-58.40	18046.875	Yes - BP, DC		2	
137	Spectrogram 1	2	1316.584337319	1317.270418220	1120.500	59694.400	0.6861	-60.66	2812.500	Yes - BP, DC		2	
138	Spectrogram 1	2	1319.549483331	1320.262469366	1324.300	47164.700	0.7130	-60.52	3515.625	Yes - BP, DC		2	
139	Spectrogram 1	2	1323.718219145	1324.453626125	1731.700	48590.800	0.7354	-62.17	2578.125	Yes - BP, DC		2	
140	Spectrogram 1	2	1325.449116060	1326.180038850	1731.700	59286.900	0.7309	-49.60	5390.625	Yes - BP, DC		2	
141	Spectrogram 1	2	1330.091988739	1330.903626930	1629.900	59694.400	0.8116	-57.17	14414.062	Yes - BP, DC		2	
142	Spectrogram 1	2	1331.320656497	1332.011221587	1324.300	59388.800	0.6906	-50.89	2695.312	Yes - BP, DC		2	
143	Spectrogram 1	2	1338.077867857	1338.750496191	1324.300	59185.100	0.6726	-51.81	3046.875	Yes - BP, DC		2	
144	Spectrogram 1	2	1342.502935265	1342.906512265	1222.400	58777.600	0.4036	-59.74	23320.312	Yes - BP, DC		3	
145	Spectrogram 1	2	1343.054490499	1343.722634645	1120.500	58064.500	0.6681	-60.70	38906.250	Yes - BP, DC		3	
146	Spectrogram 1	2	1345.839630361	1346.516742885	1629.900	58268.300	0.6771	-54.49	40898.438	Yes - BP, DC		2	
147	Spectrogram 1	2	1351.462063435	1352.139175958	1528.000	59083.200	0.6771	-60.30	3750.000	Yes - BP, DC		2	
148	Spectrogram 1	2	1355.823526540	1356.491670685	1324.300	59286.900	0.6681	-58.14	6914.062	Yes - BP, DC		2	
149	Spectrogram 1	2	1358.913591247	1359.635545660	1324.300	58777.600	0.7220	-58.55	17109.375	Yes - BP, DC		2	
150	Spectrogram 1	2	1360.777826671	1361.517717839	1324.300	59286.900	0.7399	-58.66	12304.688	Yes - BP, DC		2	
151	Spectrogram 1	2	1365.555679348	1366.255212816	1426.100	57657.000	0.6995	-50.65	36328.125	Yes - BP, DC		2	
152	Spectrogram 1	2	1366.425611994	1367.237250185	1426.100	59083.200	0.8116	-59.87	20742.188	Yes - BP, DC		2	
153	Spectrogram 1	2	1369.365494387	1369.603156399	18030.600	58573.900	0.2377	-63.59	30937.500	Yes - DC		2	
154	Spectrogram 1	2	1369.912565433	1370.674877545	1629.900	57962.600	0.7623	-58.47	4101.562	Yes - BP, DC		2	
155	Spectrogram 1	2	1375.414483772	1375.629724839	18743.600	57962.600	0.2152	-67.99	41718.750	Yes - DC		2	
156	Spectrogram 1	2	1386.982675678	1387.197916745	19558.600	55721.600	0.2152	-61.60	33867.188	Yes - DC		2	
157	Spectrogram 1	2	1398.244105760	1398.468315204	18845.500	52563.700	0.2242	-69.19	24023.438	Yes - DC		2	
158	Spectrogram 1	2	1399.531067973	1399.750793229	17725.000	59185.100	0.2197	-66.35	31757.812	Yes- DC		2	
159	Spectrogram 1	2	1402.747695690	1402.994326079	17113.800	52563.700	0.2466	-72.82	23437.500	Yes - DC		2	
160	Spectrogram 1	2	1404.276804104	1404.774549071	1120.500	57555.200	0.4977	-62.91	1640.625	Yes - BP, DC		2	
161	Spectrogram 1	2	1404.783517449	1404.985305949	2241.100	25365.000	0.2018	-73.07	7382.812	No		3	
162	Spectrogram 1	2	1420.055840649	1420.679142906	1426.100	49303.900	0.6233	-65.76	13007.812	Yes - BP, DC		2	
163	Spectrogram 1	2	1428.943401859	1429.629482760	1426.100	47979.600	0.6861	-55.73	6328.125	Yes - BP, DC		2	
164	Spectrogram 1	2	1430.755374297	1431.396613310	916.800	58573.900	0.6412	-54.24	6796.875	Yes - BP, DC		1	
165	Spectrogram 1	2	1432.082694211	1432.755322546	814.900	56434.600	0.6726	-54.47	6914.062	Yes - BP, DC		2	
166	Spectrogram 1	2	1438.715825137	1438.922097827	18132.400	55925.300	0.2063	-64.72	30234.375	Yes - DC		2	
167	Spectrogram 1	2	1439.150791460	1439.935524518	1222.400	58981.300	0.7847	-52.18	7031.250	Yes - BP, DC		1	
168	Spectrogram 1	2	1440.390154940	1440.609880196	19762.300	59286.900	0.2197	-67.43	28125.000	Yes - DC		2	
169	Spectrogram 1	2	1442.658793022	1443.389715812	1324.300	57045.800	0.7309	-56.18	4570.312	Yes - BP, DC		2	
170	Spectrogram 1	2	1447.664426445	1448.310149646	1629.900	56638.400	0.6457	-53.10	3867.188	Yes - BP, DC		2	
171	Spectrogram 1	2	1448.502969769	1449.162145537	1426.100	58879.500	0.6592	-53.75	18750.000	Yes - BP, DC		2	
172	Spectrogram 1	2	1451.386301854	1452.040993433	1629.900	51850.600	0.6547	-56.99	6679.688	Yes - BP, DC		1	
173	Spectrogram 1	2	1452.484928134	1453.135135524	1426.100	58777.600	0.6502	-51.73	7968.750	Yes - BP, DC		1	
174	Spectrogram 1	2	1454.181044487	1454.826767689	1528.000	58777.600	0.6457	-47.22	6093.750	Yes - BP, DC		1	
175	Spectrogram 1	2	1459.403384631	1460.170180932	2750.400	54499.200	0.7668	-61.77	13125.000	Yes - BP, DC		2	
176	Spectrogram 1	2	1460.378192168	1460.611369991	4482.200	49507.600	0.2332	-69.41	5625.000	Yes - DC		2	
177	Spectrogram 1	2	1461.028399558	1461.647217626	1629.900	53989.800	0.6188	-56.76	6445.312	Yes - BP, DC		2	
178	Spectrogram 1	2	1463.043637353	1463.657971232	1528.000	51646.900	0.6143	-57.71	4687.500	Yes - BP, DC		2	
179	Spectrogram 1	2	1464.034643099	1464.447188478	1528.000	45229.200	0.4125	-60.27	3046.875	Yes - BP, DC		2	
180	Spectrogram 1	2	1464.500998744	1464.648976978	3157.900	28828.500	0.1480	-68.95	8320.312	No		2	
181	Spectrogram 1	2	1464.971553106	1465.316835651	3259.800	45025.500	0.3453	-55.59	5625.000	Yes - DC		2	
182	Spectrogram 1	2	1465.751801974	1466.370620042	1629.900	56740.200	0.6188	-52.98	6562.500	Yes - BP, DC		2	
183	Spectrogram 1	2	1466.814554743	1467.043248377	2750.400	37589.100	0.2287	-64.39	5742.188	Yes - DC		2	
184	Spectrogram 1	2	1468.805260344	1469.114669378	3361.600	54091.700	0.3094	-63.16	6328.125	Yes - DC		2	
185	Spectrogram 1	2	1476.063950265	1476.718641844	1120.500	49711.400	0.6547	-55.01	13945.312	Yes - BP, DC		2	
186	Spectrogram 1	2	1477.471985579	1478.171519047	1426.100	55110.400	0.6995	-48.94	7734.375	Yes - BP, DC		2	
187	Spectrogram 1	2	1500.485929046	1500.902958614	3157.900	24346.300	0.4170	-66.55	9726.562	Yes - BP, DC		2	
188	Spectrogram 1	2	1503.880915798	1504.315882121	2241.100	40950.800	0.4350	-57.25	35273.438	Yes - BP, DC		2	
189	Spectrogram 1	2	1507.643786101	1508.276056736	1018.700	53684.200	0.6323	-53.44	14765.625	Yes - BP, DC		2	
190	Spectrogram 1	2	1508.693086303	1509.114600059	1833.600	26383.700	0.4215	-67.98	4804.688	Yes - BP, DC		2	
191	Spectrogram 1	2	1511.477586171	1511.988783705	2241.100	26689.300	0.5112	-66.36	6796.875	Yes - BP, DC		2	
192	Spectrogram 1	2	1518.742883697	1519.222691909	1935.500	27096.800	0.4798	-70.06	9375.000	Yes - BP, DC		2	
193	Spectrogram 1	2	1523.685185711	1524.142572978	2648.600	21697.800	0.4574	-72.88	6328.125	Yes - BP, DC		2	
194	Spectrogram 1	2	1542.389913655	1543.340561701	1120.500	54804.800	0.9506	-56.50	9375.000	Yes - BP, DC		1	
195	Spectrogram 1	2	1544.430498098	1545.197294400	1018.700	55416.000	0.7668	-52.32	3984.375	Yes - BP, DC		1	
196	Spectrogram 1	2	1546.377548968	1547.117440136	1324.300	57453.300	0.7399	-57.71	18515.625	Yes - BP, DC		2	
197	Spectrogram 1	2	1548.238207489	1548.955677713	1426.100	58064.500	0.7175	-55.80	4570.312	Yes - BP, DC		2	
198	Spectrogram 1	2	1550.290691616	1551.102329807	1222.400	59490.700	0.8116	-58.07	17109.375	Yes - BP, DC		2	
199	Spectrogram 1	2	1552.084000074	1552.801470298	1324.300	59083.200	0.7175	-58.61	6796.875	Yes - BP, DC		2	
200	Spectrogram 1	2	1554.069215766	1554.562476545	1629.900	58777.600	0.4933	-55.52	18632.812	Yes - BP, DC		3	
201	Spectrogram 1	2	1554.602834245	1554.786685990	2546.700	27911.700	0.1839	-65.68	20273.438	No		3	
202	Spectrogram 1	2	1554.732875723	1554.943632601	17011.900	58777.600	0.2108	-54.56	30351.562	Yes - DC		2	
203	Spectrogram 1	2	1557.552423444	1558.260925289	1426.100	58573.900	0.7085	-57.65	16992.188	Yes - BP, DC		2	
204	Spectrogram 1	2	1562.872758943	1563.316693644	1426.100	56332.800	0.4439	-59.90	6093.750	Yes - BP, DC		3	
205	Spectrogram 1	2	1563.406377422	1563.536418900	2139.200	21392.200	0.1300	-71.01	2929.688	No		3	
206	Spectrogram 1	2	1566.575046280	1566.992075848	4685.900	51545.000	0.4170	-66.10	4687.500	Yes - BP, DC		3	
207	Spectrogram 1	2	1574.255278929	1574.690245253	1731.700	52767.400	0.4350	-60.94	38906.250	Yes - BP, DC		2	
208	Spectrogram 1	2	1574.951246698	1575.206845466	19049.200	58166.400	0.2556	-48.26	42304.688	Yes - DC		2	
209	Spectrogram 1	2	1576.040904600	1576.431029035	2037.400	58370.100	0.3901	-57.95	12539.062	Yes - BP, DC		2	
210	Spectrogram 1	2	1576.484839301	1576.655238479	3259.800	26281.800	0.1704	-74.30	6562.500	No		3	
211	Spectrogram 1	2	1578.444975637	1579.072762082	2343.000	56230.900	0.6278	-64.81	5859.375	Yes - BP, DC		2	
212	Spectrogram 1	2	1582.327910519	1583.022959798	1324.300	57453.300	0.6950	-64.83	1757.812	Yes - BP, DC		2	
213	Spectrogram 1	2	1585.045054722	1585.722167245	1324.300	54193.500	0.6771	-64.62	17929.688	Yes - BP, DC		2	
214	Spectrogram 1	2	1588.928175267	1589.210679168	9677.400	11511.000	0.2825	-93.15	10898.438	No		2	
215	Spectrogram 1	2	1590.161512878	1590.775846757	1222.400	58370.100	0.6143	-62.91	39375.000	Yes - BP, DC		2	
216	Spectrogram 1	2	1590.744457434	1590.977635257	10186.800	11511.000	0.2332	-92.20	10195.312	No		2	
217	Spectrogram 1	2	1592.596054746	1592.869590269	9779.300	11307.300	0.2735	-96.90	10898.438	No		2	
218	Spectrogram 1	2	1593.250746325	1593.869564393	1426.100	58064.500	0.6188	-56.32	32460.938	Yes - BP, DC		2	
219	Spectrogram 1	2	1595.114156091	1595.777816047	1324.300	58675.700	0.6637	-49.71	24726.562	Yes - BP, DC		2	
