Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Inband Power (dB FS)	Delta Time (s)	Peak Freq (Hz)	NLP	SNR	SQ
51	Spectrogram 1	1	870.940279951	871.808197304	7677.200	15354.300	-72.73	0.8679	12304.688	No	7.5	
52	Spectrogram 1	1	871.509311858	872.285264458	7192.300	18263.600	-72.57	0.7760	12304.688	No	7.7	
53	Spectrogram 1	1	872.590963121	873.303689954	12849.100	15435.100	-77.47	0.7127	14062.500	No	6.4	
54	Spectrogram 1	1	888.596339238	890.217218003	9455.000	15596.800	-76.17	1.6209	13593.750	Yes - FJ	6.4	
55	Spectrogram 1	1	910.783365720	912.036385475	7677.200	11152.100	-71.34	1.2530	11132.812	Yes - DC?	17	
56	Spectrogram 1	1	912.789838996	913.295645135	8808.500	10909.600	-76.28	0.5058	10312.500	No	11.9	
57	Spectrogram 1	1	968.311319761	968.759647930	7515.500	15435.100	-72.12	0.4483	14414.062	No	9.9	
58	Spectrogram 1	1	969.555277163	970.440437907	7353.900	15515.900	-74.73	0.8852	14648.438	Yes - FJ	6.9	
59	Spectrogram 1	1	979.803626587	981.119872109	8242.800	15435.100	-71.71	1.3162	14882.812	Yes - FJ	6.7	
60	Spectrogram 1	1	989.310285649	990.132220626	8566.100	11637.000	-74.32	0.8219	11367.188	No	10.9	
61	Spectrogram 1	1	1031.545512004	1033.195129755	7273.100	27072.100	-58.07	1.6496	13828.125	Yes - FJ	25.5	
62	Spectrogram 1	1	1037.860578322	1039.441222508	7434.700	26748.800	-63.50	1.5806	9492.188	Yes - FJ	8	
63	Spectrogram 1	1	1041.800171333	1043.191138217	7838.800	28850.000	-58.62	1.3910	9960.938	Yes - FJ	13.3	
64	Spectrogram 1	1	1043.632988475	1044.621609566	9293.400	26668.000	-64.65	0.9886	10312.500	Yes - FJ	10.3	
65	Spectrogram 1	1	1055.880116644	1056.943459097	6141.700	14788.600	-69.97	1.0633	12187.500	Yes - FJ	6.8	
66	Spectrogram 1	1	1059.232785446	1060.882403197	7838.800	27152.900	-64.95	1.6496	16054.688	Yes - FJ	11.9	
67	Spectrogram 1	1	1075.100787745	1076.905596016	7434.700	25698.300	-65.90	1.8048	14296.875	Yes - FJ	10.9	
68	Spectrogram 1	1	1086.756637477	1088.431131658	7838.800	26344.800	-64.71	1.6745	8789.062	Yes - FJ	12.2	
69	Spectrogram 1	1	1096.278177591	1097.899835791	7758.000	26829.700	-67.66	1.6217	11132.812	Yes - FJ	8.9	
70	Spectrogram 1	1	1101.483440538	1102.901883424	8162.000	26991.300	-72.41	1.4184	14179.688	Yes - FJ	7.4	
71	Spectrogram 1	1	1108.768113777	1110.401964895	8000.400	26183.200	-61.54	1.6339	13476.562	Yes - FJ	19.9	
72	Spectrogram 1	1	1122.505790312	1124.253442005	7838.800	26264.000	-67.62	1.7477	12187.500	Yes - FJ	8.3	
73	Spectrogram 1	1	1130.263423181	1131.706251905	7515.500	27233.700	-65.56	1.4428	9375.000	Yes - FJ	10.6	
74	Spectrogram 1	1	1141.645847811	1143.320341991	7434.700	26829.700	-66.56	1.6745	9140.625	Yes - FJ	9.5	
75	Spectrogram 1	1	1146.922270146	1148.401677627	8242.800	27557.000	-69.57	1.4794	14179.688	Yes - FJ	6	
76	Spectrogram 1	1	1149.476141846	1150.906777651	6707.400	26748.800	-67.34	1.4306	15937.500	Yes - FJ	8.6	
77	Spectrogram 1	1	1156.815188296	1158.566904296	7838.800	27961.000	-67.41	1.7517	9492.188	Yes - FJ	8.5	
78	Spectrogram 1	1	1161.880269763	1162.672809484	6949.800	13899.700	-69.66	0.7925	9960.938	No	8.7	
79	Spectrogram 1	1	1190.697832153	1192.408905090	7838.800	26748.800	-67.61	1.7111	20390.625	Yes - FJ	12.4	
80	Spectrogram 1	1	1193.737382082	1195.318397219	7758.000	26506.400	-70.01	1.5810	11484.375	Yes - FJ	9.8	
81	Spectrogram 1	1	1197.180796760	1198.721168835	8162.000	27314.500	-73.06	1.5404	8203.125	Yes - FJ	6.3	
